feature_set,feature,mean_coefficient,std_coefficient,positive_fold_fraction,same_sign_all_folds,mean_absolute_rank
F_all_excluding_calendar,numeric__macd_signal_ratio,-0.0002727506639950396,0.07713222099782467,0.4,False,3.0
F_all_excluding_calendar,numeric__natr14,-0.03540427113877772,0.059470179596637376,0.4,False,3.0
F_all_excluding_calendar,numeric__natr_ratio_168,-0.2221479511320512,0.03431711201189994,0.0,True,3.0
F_all_excluding_calendar,numeric__range_expansion_24,-0.20221503198099627,0.03144275700439832,0.0,True,3.0
F_all_excluding_calendar,numeric__range_ratio,0.144342162319481,0.16546787053711867,0.6,False,3.0
F_all_excluding_calendar,numeric__regime_duration,0.16464992453412405,0.1369759985816134,1.0,True,3.0
F_all_excluding_calendar,numeric__regime_transition,0.05124070276698127,0.04336135157244752,1.0,True,3.0
F_all_excluding_calendar,numeric__relative_volume_24,-0.0044421516896493984,0.10611323297823293,0.4,False,3.0
F_all_excluding_calendar,numeric__return_12h,0.08701311060088975,0.08849962359855858,0.8,False,3.0
F_all_excluding_calendar,numeric__return_168h,0.05560967752519358,0.09104998108388651,0.6,False,3.0
F_all_excluding_calendar,numeric__return_1h,-0.10354032953657319,0.06536527108587824,0.0,True,3.0
F_all_excluding_calendar,numeric__return_24h,-0.029329208967380782,0.06041061858468623,0.2,False,3.0
F_all_excluding_calendar,numeric__return_3h,-0.11559185023232976,0.09487595798955405,0.0,True,3.0
F_all_excluding_calendar,numeric__return_6h,0.09269423737109235,0.07713098172688998,0.8,False,3.0
F_all_excluding_calendar,numeric__return_72h,-0.19096685004800618,0.04730096897109277,0.0,True,3.0
F_all_excluding_calendar,numeric__return_std_168,0.12384357379068303,0.15417497253829265,0.8,False,3.0
F_all_excluding_calendar,numeric__return_std_24,-0.11584068750537142,0.13058866544578354,0.2,False,3.0
F_all_excluding_calendar,numeric__rsi14,0.11940413787198731,0.11839206937625175,1.0,True,3.0
F_all_excluding_calendar,numeric__signal_density_168,0.06334740214901638,0.03729803994568308,1.0,True,3.0
F_all_excluding_calendar,numeric__source_synthetic,0.0,0.0,0.0,False,3.0
F_all_excluding_calendar,numeric__trend_efficiency_20,0.062232575091951015,0.05676622167667831,1.0,True,3.0
F_all_excluding_calendar,numeric__up_fraction_24,0.0405096038804341,0.08528258435144177,0.6,False,3.0
F_all_excluding_calendar,numeric__volatility_percentile_720,0.06926687086366454,0.05572875032235562,1.0,True,3.0
F_all_excluding_calendar,numeric__volatility_ratio_24_168,0.2515419724657813,0.03757175561856792,1.0,True,3.0
F_all_excluding_calendar,numeric__volume_price_interaction,-0.09725607601629502,0.04075051838537665,0.0,True,3.0
F_all_excluding_calendar,numeric__volume_trend_24_168,0.0860014069111051,0.11499349858589174,0.8,False,3.0
F_all_excluding_calendar,numeric__volume_zscore_24,-0.06539709477046687,0.04055319101540637,0.2,False,3.0
