target,feature_set,model,evaluation_year,pair,n,prevalence,mean_probability,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier
profitable_after_fees,C_price_trend,dummy,2021,BTC/USDT,97,0.3917525773195876,0.35034802784222746,0.5,0.3917525773195876,0.5,0.0,0.0,0.0,0.23999683220047138
profitable_after_fees,C_price_trend,dummy,2021,ETH/USDT,104,0.3942307692307692,0.35034802784222746,0.5,0.3942307692307692,0.5,0.0,0.0,0.0,0.24073856481425887
profitable_after_fees,C_price_trend,dummy,2022,BTC/USDT,104,0.25961538461538464,0.3643533123028391,0.5,0.25961538461538464,0.5,0.0,0.0,0.0,0.20318527018265298
profitable_after_fees,C_price_trend,dummy,2022,ETH/USDT,106,0.3490566037735849,0.3643533123028391,0.5,0.3490566037735849,0.5,0.0,0.0,0.0,0.2274500804274644
profitable_after_fees,C_price_trend,dummy,2023,BTC/USDT,114,0.32456140350877194,0.3491124260355029,0.5,0.32456140350877194,0.5,0.0,0.0,0.0,0.21982405156829612
profitable_after_fees,C_price_trend,dummy,2023,ETH/USDT,102,0.3431372549019608,0.3491124260355029,0.5,0.3431372549019608,0.5,0.0,0.0,0.0,0.2254297818703827
profitable_after_fees,C_price_trend,dummy,2024,BTC/USDT,105,0.41904761904761906,0.34460093896713617,0.5,0.41904761904761906,0.5,0.0,0.0,0.0,0.24898902019314637
profitable_after_fees,C_price_trend,dummy,2024,ETH/USDT,98,0.29591836734693877,0.34460093896713617,0.5,0.29591836734693877,0.5,0.0,0.0,0.0,0.21072067999321661
profitable_after_fees,C_price_trend,forest,2020,BTC/USDT,107,0.37383177570093457,0.34194723797518656,0.541044776119403,0.4240448868182851,0.5,0.0,0.0,0.0,0.23521044514055794
profitable_after_fees,C_price_trend,forest,2020,ETH/USDT,101,0.38613861386138615,0.33576637940139736,0.620347394540943,0.4955350632792516,0.5,0.0,0.0,0.0,0.22947717963270253
profitable_after_fees,C_price_trend,forest,2021,BTC/USDT,97,0.3917525773195876,0.38201309419295515,0.6257805530776093,0.4911646085840023,0.5637823371989296,0.5555555555555556,0.2631578947368421,0.35714285714285715,0.2272680776884135
profitable_after_fees,C_price_trend,forest,2021,ETH/USDT,104,0.3942307692307692,0.40820458565171075,0.6016260162601627,0.5075202042377678,0.5516840882694541,0.4827586206896552,0.34146341463414637,0.4,0.23293750793835025
profitable_after_fees,C_price_trend,forest,2022,BTC/USDT,104,0.25961538461538464,0.3184166929295667,0.5064935064935064,0.288411744133802,0.512025012025012,0.5,0.037037037037037035,0.06896551724137931,0.20238787279734088
