fold,evaluation_year,target,feature_set,model,n,prevalence,mean_probability,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier,ece_5_bins,confusion_matrix,calibration
4,2023,profitable_after_fees,A_all,logistic,216,0.3333333333333333,0.2859742866244647,0.5494791666666667,0.3513246471078203,0.4930555555555556,0.25,0.027777777777777776,0.05,0.2299336088853369,0.09840581839715266,"[[138, 6], [70, 2]]","[{'lower': 0.0, 'upper': 0.2, 'n': 50, 'mean_probability': 0.14568069065740244, 'observed_rate': 0.22}, {'lower': 0.2, 'upper': 0.4, 'n': 128, 'mean_probability': 0.2888543752787467, 'observed_rate': 0.3828125}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 38, 'mean_probability': 0.46086977216670194, 'observed_rate': 0.3157894736842105}]"
4,2023,profitable_after_fees,A_all,forest,216,0.3333333333333333,0.3033602552312863,0.5012538580246912,0.3206513026742915,0.4861111111111111,0.0,0.0,0.0,0.23560031676166593,0.09361640022901202,"[[140, 4], [72, 0]]","[{'lower': 0.0, 'upper': 0.2, 'n': 49, 'mean_probability': 0.17626116558029384, 'observed_rate': 0.2857142857142857}, {'lower': 0.2, 'upper': 0.4, 'n': 116, 'mean_probability': 0.2932374071276829, 'observed_rate': 0.3620689655172414}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 51, 'mean_probability': 0.4484995841120042, 'observed_rate': 0.3137254901960784}]"
4,2023,profitable_after_fees,A_all,hist_gradient,216,0.3333333333333333,0.3111518017069442,0.4794560185185185,0.3152133608347919,0.4722222222222222,0.09090909090909091,0.013888888888888888,0.024096385542168676,0.23968440186210685,0.11525432554269933,"[[134, 10], [71, 1]]","[{'lower': 0.0, 'upper': 0.2, 'n': 36, 'mean_probability': 0.18189232872291902, 'observed_rate': 0.3333333333333333}, {'lower': 0.2, 'upper': 0.4, 'n': 136, 'mean_probability': 0.29124120288024524, 'observed_rate': 0.3602941176470588}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 41, 'mean_probability': 0.46713099816499076, 'observed_rate': 0.24390243902439024}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 3, 'mean_probability': 0.6331636060656235, 'observed_rate': 0.3333333333333333}]"
4,2023,profitable_after_fees,B_reduced,dummy,216,0.3333333333333333,0.34911242603550285,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.22247120198872594,0.01577909270216954,"[[144, 0], [72, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 216, 'mean_probability': 0.34911242603550285, 'observed_rate': 0.3333333333333333}]"
4,2023,profitable_after_fees,B_reduced,logistic,216,0.3333333333333333,0.28561767997182674,0.5426311728395061,0.344693509669134,0.49652777777777773,0.25,0.013888888888888888,0.02631578947368421,0.23047581013828394,0.10349242876754086,"[[141, 3], [71, 1]]","[{'lower': 0.0, 'upper': 0.2, 'n': 47, 'mean_probability': 0.14436829696745507, 'observed_rate': 0.2127659574468085}, {'lower': 0.2, 'upper': 0.4, 'n': 134, 'mean_probability': 0.29018072516860066, 'observed_rate': 0.3880597014925373}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 35, 'mean_probability': 0.45782547839576293, 'observed_rate': 0.2857142857142857}]"
4,2023,profitable_after_fees,B_reduced,forest,216,0.3333333333333333,0.30877574647234646,0.4960455246913581,0.3147661189703437,0.47916666666666663,0.1111111111111111,0.013888888888888888,0.024691358024691357,0.2360288861863783,0.1080140064048965,"[[136, 8], [71, 1]]","[{'lower': 0.0, 'upper': 0.2, 'n': 34, 'mean_probability': 0.180533004778852, 'observed_rate': 0.3235294117647059}, {'lower': 0.2, 'upper': 0.4, 'n': 134, 'mean_probability': 0.28764287884181816, 'observed_rate': 0.3582089552238806}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 48, 'mean_probability': 0.45861027730713017, 'observed_rate': 0.2708333333333333}]"
4,2023,profitable_after_fees,B_reduced,hist_gradient,216,0.3333333333333333,0.3177231342409262,0.5044367283950617,0.3419593462543749,0.4861111111111111,0.23076923076923078,0.041666666666666664,0.07058823529411765,0.23442032970292037,0.09014833668002298,"[[134, 10], [69, 3]]","[{'lower': 0.0, 'upper': 0.2, 'n': 30, 'mean_probability': 0.1794859516757938, 'observed_rate': 0.26666666666666666}, {'lower': 0.2, 'upper': 0.4, 'n': 135, 'mean_probability': 0.2903222191578055, 'observed_rate': 0.35555555555555557}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 48, 'mean_probability': 0.46180318097310336, 'observed_rate': 0.3125}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 3, 'mean_probability': 0.6278553909178516, 'observed_rate': 0.3333333333333333}]"
4,2023,profitable_after_fees,C_price_trend,dummy,216,0.3333333333333333,0.34911242603550285,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.22247120198872594,0.01577909270216954,"[[144, 0], [72, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 216, 'mean_probability': 0.34911242603550285, 'observed_rate': 0.3333333333333333}]"
4,2023,profitable_after_fees,C_price_trend,logistic,216,0.3333333333333333,0.31894797873514225,0.47762345679012347,0.32241263114802976,0.49652777777777773,0.25,0.013888888888888888,0.02631578947368421,0.22952768788394454,0.059310147848710915,"[[141, 3], [71, 1]]","[{'lower': 0.0, 'upper': 0.2, 'n': 1, 'mean_probability': 0.19935568381107374, 'observed_rate': 0.0}, {'lower': 0.2, 'upper': 0.4, 'n': 189, 'mean_probability': 0.3018036282313999, 'observed_rate': 0.3439153439153439}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 26, 'mean_probability': 0.4481739225863487, 'observed_rate': 0.2692307692307692}]"
4,2023,profitable_after_fees,C_price_trend,forest,216,0.3333333333333333,0.3065438047176017,0.5162037037037037,0.32973403844002647,0.4791666666666667,0.0,0.0,0.0,0.23294290659900824,0.07064154489570773,"[[138, 6], [72, 0]]","[{'lower': 0.0, 'upper': 0.2, 'n': 35, 'mean_probability': 0.18363565030265802, 'observed_rate': 0.2}, {'lower': 0.2, 'upper': 0.4, 'n': 146, 'mean_probability': 0.30171367328884596, 'observed_rate': 0.3698630136986301}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 35, 'mean_probability': 0.44960050737821183, 'observed_rate': 0.3142857142857143}]"
4,2023,profitable_after_fees,C_price_trend,hist_gradient,216,0.3333333333333333,0.31185260775724766,0.4962866512345679,0.3116066923651948,0.4652777777777778,0.0,0.0,0.0,0.238155436213315,0.10348341020341245,"[[134, 10], [72, 0]]","[{'lower': 0.0, 'upper': 0.2, 'n': 31, 'mean_probability': 0.18694388230882883, 'observed_rate': 0.2903225806451613}, {'lower': 0.2, 'upper': 0.4, 'n': 139, 'mean_probability': 0.2856734747067663, 'observed_rate': 0.3597122302158273}, {'lower': 0.4, 'upper': 0.6000000000000001, 'n': 45, 'mean_probability': 0.4718797575314231, 'observed_rate': 0.28888888888888886}, {'lower': 0.6000000000000001, 'upper': 0.8, 'n': 1, 'mean_probability': 0.6217008508372601, 'observed_rate': 0.0}]"
4,2023,profitable_after_fees,D_price_trend_volatility,dummy,216,0.3333333333333333,0.34911242603550285,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,0.22247120198872594,0.01577909270216954,"[[144, 0], [72, 0]]","[{'lower': 0.2, 'upper': 0.4, 'n': 216, 'mean_probability': 0.34911242603550285, 'observed_rate': 0.3333333333333333}]"
