strategy,day_of_week,count,net_usdt,profit_factor,expectancy_usdt,win_rate_pct,mean_mfe_pct,mean_mae_pct,mean_forward_1h_pct,mean_forward_3h_pct,mean_forward_6h_pct,mean_forward_12h_pct,mean_forward_24h_pct,mean_forward_48h_pct
LabBaseline,Sunday,129,-58.656658050000004,0.7144730579951727,-0.4547027755813954,27.131782945736433,2.1114742173828502,-2.0391227181832936,0.154968809966515,0.23163596371413592,0.06774257049299677,0.09508284423953177,0.26884591115639617,0.39341397336773615
LabBaseline,Thursday,115,21.29735227,1.1197459127769973,0.1851943675652174,44.34782608695652,2.5751654705232125,-2.3472869539009684,-0.06935352909180854,-0.09199646713580249,-0.06377769516919751,-0.10031843830089666,0.18096191141803802,0.7376389421016725
LabBaseline,Tuesday,108,41.15955596,1.2668702569289079,0.38110699962962963,41.66666666666667,2.5412392619765396,-2.133307787895959,0.07835860067379988,0.21194757691740787,0.2916261818395041,0.5258640024063399,0.7702343321789048,1.1615704538783767
LabBaseline,Wednesday,131,-75.39072865,0.6763141125738014,-0.5755017454198473,31.297709923664126,2.3235051789982335,-2.05675327854069,0.12353844017683353,0.3164722849638429,0.29010310045480736,0.23095162939480643,-0.3335335335685271,-0.7756986847125996
V2CompressionBreakout,Friday,4,-5.21265682,0.0,-1.303164205,0.0,0.8884126249249891,-1.452270263508415,-0.009928247175078342,-0.06411269907218853,-0.9023241680309324,-0.7650724020596633,-0.23449993655432766,2.3891311328978873
V2CompressionBreakout,Monday,10,2.9852672799999995,1.4532079996629466,0.29852672799999996,30.0,2.3533943076958153,-1.0342076464201955,0.15501534791951044,0.055906867175052895,0.11636343694456541,0.8906255807209129,-0.10935974817655625,-0.06250319253081282
V2CompressionBreakout,Saturday,13,-4.1957489599999995,0.6350666109907585,-0.32274991999999997,23.076923076923077,2.0203694531440757,-1.2965238508800314,0.41579122705217403,0.6656624256588579,0.49155024380818774,0.1538951532900777,0.026829870514360605,0.7279593020210836
V2CompressionBreakout,Sunday,15,2.9011307299999975,1.1711609420057094,0.19340871533333318,26.666666666666668,2.1472895799246867,-1.4595383213398128,0.23098606108001182,-0.05039376820276331,0.05295067859102979,-0.042108711230226525,-0.3336511516127268,-0.8077592102382524
V2CompressionBreakout,Thursday,13,-9.67261455,0.4269157186271893,-0.7440472730769231,15.384615384615385,1.550743821146348,-1.4821017075239307,0.016637434326965534,0.45524677005982844,0.20924459101656465,-0.9073115355707966,-1.818454076805924,-2.7956630548411505
V2CompressionBreakout,Tuesday,8,10.19986673,2.31115847565881,1.27498334125,37.5,3.178180764057423,-1.5490256534489792,-0.1704688842836491,0.4198625809004791,0.5194846785292279,2.441506280191616,3.002424211709302,2.875381705199931
V2CompressionBreakout,Wednesday,14,3.6845463600000015,1.2575707628458428,0.26318188285714295,21.428571428571427,2.368540884701214,-1.4305226942331328,-0.09391522694415391,0.04714480249425414,0.12121026410860739,0.04249419508720598,-0.26175490099947557,-1.4177470044086862
V2RegimeAdaptive,Friday,11,-0.5313174299999998,0.9045538986590458,-0.04830158454545452,54.54545454545454,0.9979514294997478,-1.4396082672455028,-0.14164842307404174,-0.25472739747493683,-0.1614389219010965,-0.6637902363306323,0.8062619900806639,1.5072772396443535
V2RegimeAdaptive,Monday,17,-3.03363612,0.8063990161827735,-0.17844918352941178,47.05882352941176,1.1401613936924797,-1.3817161457683695,0.09383767439450678,0.05355499359512131,-0.21082069700287678,-0.03237614801474945,1.0421490231710324,0.3136069964950743
V2RegimeAdaptive,Saturday,8,-0.5046841499999997,0.9175500439124745,-0.06308551874999996,50.0,1.3696541543587877,-1.9692179494334523,-0.3939930995616514,-0.1314254177102847,0.32167868065845207,-0.7367615469530895,-0.8097899637784178,0.3564163320238109
V2RegimeAdaptive,Sunday,20,7.262615099999999,1.534858145786201,0.3631307549999999,65.0,1.6486323055572925,-1.5323604398688457,-0.10833022142071382,0.3185606310217681,0.48313891580536955,0.19105563952875437,1.166459086638505,0.8368967455031666
V2RegimeAdaptive,Thursday,14,-10.183150949999998,0.3036133729318034,-0.7273679249999999,42.857142857142854,0.810868456702994,-1.441267444434666,-0.29311143739369017,-0.1451808652107359,0.07845098258248259,-0.6107627368788686,0.4446425933406527,0.9808871174580227
V2RegimeAdaptive,Tuesday,6,0.40004044999999966,1.1213836495849623,0.06667340833333328,83.33333333333334,0.9314758937069234,-0.7970951531659165,0.12937218552710833,0.1376490564722203,0.1513754994831325,0.1780142467355324,1.345484251769017,-2.313206828611203
V2RegimeAdaptive,Wednesday,8,-3.59234437,0.49737189457447,-0.44904304625,37.5,1.123570332667223,-1.2730383406950776,0.17510988623662543,0.2809682010892281,0.3314317206190104,0.04957044438807651,-0.1839379854672918,0.9782501326514537
V2TrendPullback,Friday,40,-3.517708940000002,0.9429865856023258,-0.08794272350000006,32.5,2.6323399112507655,-2.054681740531742,-0.11619424011818981,0.03971805049509475,-0.008452638521395939,-0.30107967832905175,0.7494423065329228,0.1209098023841243
V2TrendPullback,Monday,18,22.56514725,1.9955295258575283,1.2536192916666666,50.0,3.3556903824570883,-1.4599176480248257,0.18614509574855959,0.6258488803951929,0.3471524349894864,0.33464214815404625,0.17015622313432616,0.43156035427653094
V2TrendPullback,Saturday,32,19.37456453,1.5223590008826118,0.6054551415625,37.5,2.6096298114965784,-1.782516756491825,0.0161432641054525,0.3649447433986142,0.2446296643414482,0.19220132089031416,1.269693078722229,2.1875461117451405
V2TrendPullback,Sunday,30,5.60701774,1.1259358272778133,0.18690059133333334,30.0,2.392395202768166,-1.8007674841848602,-0.0534433189859688,-0.12664172320432635,-0.04351547550807022,0.10091969797488869,-0.26376176867973516,1.0860149593035906
V2TrendPullback,Thursday,32,27.37904634,1.6613067782222846,0.855595198125,40.625,2.827319695587871,-1.8438025607161241,0.09633971969362672,0.10910230502040874,0.46010339601459566,0.1523916810266708,-0.13278086916834325,1.337495725086206
V2TrendPullback,Tuesday,42,-16.29178688,0.7455194418675509,-0.38789968761904764,28.57142857142857,2.499546068834563,-2.2179148066052634,-0.2153298841762804,-0.2406662147494925,-0.3367964230765278,-0.05085551922073087,-0.16336673120238646,-1.405488236117696
V2TrendPullback,Wednesday,34,-22.436745859999995,0.613277377119473,-0.6599042899999998,26.47058823529412,2.229996180525271,-2.2481777326105226,0.049862311223820434,-0.19580258208866763,-0.5798596629681133,-0.5157259423679728,-0.9750092017947507,-1.4618621405632304
