year,strategy,pair,trades,wins,losses,win_rate_pct,net_usdt,total_return_pct,average_trade_pct,profit_factor,expectancy_usdt,average_duration_hours,maximum_consecutive_losses,closed_trade_drawdown_pct,top5_net_usdt,top10_net_usdt,top5_gross_profit_share,top10_gross_profit_share,top5_net_share,top10_net_share
2021,V2CompressionBreakout,ETH/USDT,9,4,5,44.44444444444444,8.36274319,0.8362743189999999,0.9290988243448437,2.363355312601174,0.9291936877777778,12.222222222222223,3,0.46796225106722256,14.41909242,8.36274319,0.9946475117634059,0.5768727644683387,1.7242060520574232,1.0
2021,V2RegimeAdaptive,BTC/USDT,9,4,5,44.44444444444444,-4.590192930000001,-0.45901929300000005,-0.5104187008836197,0.552979066682135,-0.5100214366666668,6.0,3,0.7564408765470996,5.227808959999999,-4.59019293,0.9206783672256617,-0.8083867188680086,,
2021,V2RegimeAdaptive,ETH/USDT,8,4,4,50.0,-3.7920599500000005,-0.3792059950000001,-0.4734200414068665,0.6186422518725686,-0.47400749375000006,7.625,2,0.613278650999996,5.21406011,-3.7920599500000005,0.8476056352393114,-0.6164431009571353,,
2021,V2TrendPullbackLo,BTC/USDT,36,11,25,30.555555555555557,-6.17274347,-0.6172743470000001,-0.1721232125862165,0.8701648960989262,-0.1714650963888889,14.86111111111111,9,3.064247472683728,29.96717288,40.98628326000001,0.724366096532513,0.9907198832305095,,
2021,V2TrendPullbackLo,ETH/USDT,36,14,22,38.88888888888889,-0.6941175999999993,-0.06941175999999993,-0.01995114396388945,0.9890179831048767,-0.019281044444444426,17.36111111111111,6,1.4421638089999986,30.01450446,56.6597944,0.4801490127254159,0.9063999167016416,,
2021,V2TrendPullbackHi,BTC/USDT,34,10,24,29.411764705882355,-4.96812587,-0.49681258699999997,-0.14664826942732395,0.8898443140865,-0.14612134911764704,15.176470588235295,14,2.9460671533895413,29.96717288,40.13282220000001,0.7466998640329858,1.0,,
2021,V2TrendPullbackHi,ETH/USDT,33,14,19,42.42424242424242,3.850027820000004,0.38500278200000043,0.11607468455619031,1.0656320555894379,0.11666750969696982,18.030303030303028,5,1.2571284379999952,30.01450446,56.6597944,0.4801490127254159,0.9063999167016416,7.795918851308448,14.716723371624868
2021,V2CompressionBreakoutLo,BTC/USDT,12,3,9,25.0,-0.5075054599999997,-0.05075054599999997,-0.0399749128370231,0.960251654772774,-0.04229212166666665,10.0,7,1.093789559528069,10.440164170000001,3.6726930100000006,0.851531264283774,0.29955591417979394,,
2021,V2CompressionBreakoutLo,ETH/USDT,7,3,4,42.857142857142854,9.40356469,0.9403564689999999,1.3432571028552789,3.416372815851757,1.3433663842857142,12.142857142857142,2,0.24636457607572718,13.03023875,9.40356469,0.9800732606005937,0.7072918987763682,1.3856701346306153,1.0
2021,V2CompressionBreakoutHi,BTC/USDT,15,4,11,26.666666666666668,1.1603034900000009,0.11603034900000009,0.07915512559049512,1.0894696466500506,0.07735356600000005,11.6,8,1.1095269114090969,14.10779783,9.69115625,0.9985003375903846,0.6859059722764801,12.15871360517927,8.35225984711982
