strategy,year,pair,trades,wins,losses,win_rate_pct,total_return_pct,net_usdt,average_trade_pct,profit_factor,gross_profit_usdt,gross_loss_usdt,expectancy_usdt,closed_trade_drawdown_pct,sharpe_daily_closed,sortino_daily_closed,average_duration_hours,consecutive_losses,wallet_drawdown_pct,engine_sharpe,engine_sortino,rejected_signals
AlphaBreakoutHi,2019,ALL,118,49,69,41.52542372881356,-2.566929408,-25.66929408,-0.21731587813878592,0.8821032605550688,192.05762696000002,217.72692104,-0.2175363905084746,3.4876460983739728,-0.6243600211472227,-0.9104684314836152,23.635593220338983,9,4.258176552658,-0.3434078499334474,-0.8031833685674231,0.0
AlphaBreakoutHi,2019,BTC/USDT,58,25,33,43.103448275862064,-1.1507858100000006,-11.507858100000005,-0.198190810670757,0.8852296495928705,88.76070481000001,100.26856291000001,-0.19841134655172424,2.6194092048234174,-0.4365143580614128,-0.6545300620530237,25.017241379310345,4,,,,
AlphaBreakoutHi,2019,ETH/USDT,60,24,36,40.0,-1.4161435979999997,-14.161435979999997,-0.23580344335788053,0.8794344122848502,103.29692215,117.45835813,-0.23602393299999994,2.6071070497824103,-0.49041203697090696,-0.6826587981602754,22.3,5,,,,
AlphaReversion,2019,ALL,1,1,0,100.0,0.007961187,0.07961187,0.07953700887086866,,0.07961187,-0.0,0.07961187,0.0,0.9999999999999999,,17.0,0,0.1965469380537172,-100.0,-100.0,0.0
AlphaReversion,2019,BTC/USDT,0,0,0,,0.0,0.0,,,0.0,-0.0,,0.0,,,,0,,,,
AlphaReversion,2019,ETH/USDT,1,1,0,100.0,0.007961187,0.07961187,0.07953700887086866,,0.07961187,-0.0,0.07961187,0.0,0.9999999999999999,,17.0,0,,,,
AlphaReversionLo,2019,ALL,1,1,0,100.0,0.007961187,0.07961187,0.07953700887086866,,0.07961187,-0.0,0.07961187,0.0,0.9999999999999999,,17.0,0,0.1965469380537172,-100.0,-100.0,0.0
AlphaReversionLo,2019,BTC/USDT,0,0,0,,0.0,0.0,,,0.0,-0.0,,0.0,,,,0,,,,
AlphaReversionLo,2019,ETH/USDT,1,1,0,100.0,0.007961187,0.07961187,0.07953700887086866,,0.07961187,-0.0,0.07961187,0.0,0.9999999999999999,,17.0,0,,,,
AlphaReversionHi,2019,ALL,1,1,0,100.0,0.007961187,0.07961187,0.07953700887086866,,0.07961187,-0.0,0.07961187,0.0,0.9999999999999999,,17.0,0,0.1965469380537172,-100.0,-100.0,0.0
AlphaReversionHi,2019,BTC/USDT,0,0,0,,0.0,0.0,,,0.0,-0.0,,0.0,,,,0,,,,
AlphaReversionHi,2019,ETH/USDT,1,1,0,100.0,0.007961187,0.07961187,0.07953700887086866,,0.07961187,-0.0,0.07961187,0.0,0.9999999999999999,,17.0,0,,,,
AlphaSqueeze,2019,ALL,198,70,128,35.35353535353536,6.251379508999999,62.51379508999999,0.3155095374355146,1.3295798873155562,252.19100992,189.67721483000003,0.31572623782828274,3.8934354907240607,1.1538488502989155,2.6582693035762377,13.171717171717171,14,3.9759969667620694,1.1557103406825195,3.0246079059664583,0.0
AlphaSqueeze,2019,BTC/USDT,104,35,69,33.65384615384615,2.8699965020000007,28.699965020000008,0.2758175073153587,1.3018109926100085,123.79247564,95.09251062000001,0.27596120211538466,2.8211825112838214,0.9534710961412192,2.013293904677539,13.961538461538462,9,,,,
AlphaSqueeze,2019,ETH/USDT,94,35,59,37.234042553191486,3.3813830069999993,33.813830069999995,0.35942412395143153,1.3574978676776897,128.39853427999998,94.58470420999998,0.35972159648936164,1.7500779437486573,1.0507192583527687,2.3866993121512343,12.297872340425531,8,,,,
AlphaSqueezeLo,2019,ALL,171,57,114,33.33333333333333,3.1563393860000013,31.563393860000012,0.18443492885518087,1.1878130263693876,199.62092677000004,168.05753291,0.18458125064327494,3.3723971360404352,0.7167383449270992,1.4331385959095129,12.947368421052632,12,3.6904728820445514,0.5986685499369736,1.4995906882858367,0.0
AlphaSqueezeLo,2019,BTC/USDT,90,29,61,32.22222222222222,1.5655326260000009,15.655326260000008,0.1737961062515313,1.189718376829291,98.17409182,82.51876556,0.17394806955555564,2.5101732088334283,0.5905983972364529,1.1858381552071982,13.71111111111111,9,,,,
AlphaSqueezeLo,2019,ETH/USDT,81,28,53,34.5679012345679,1.59080676,15.908067599999999,0.19625584285923592,1.185974945546138,101.44683495,85.53876734999999,0.19639589629629628,1.5759389997380462,0.5649763689301461,1.1699699442774716,12.098765432098766,6,,,,
AlphaSqueezeHi,2019,ALL,216,77,139,35.648148148148145,6.476414717000002,64.76414717000002,0.29958607440106944,1.3025714202688672,278.80996522000004,214.04581805,0.299834014675926,4.2641016291150775,1.1224615457107756,2.495134942887735,13.13425925925926,15,4.57814955441204,1.1729609938553154,2.890291694740025,0.0
AlphaSqueezeHi,2019,BTC/USDT,109,37,72,33.94495412844037,2.2079132290000003,22.079132290000004,0.20240504522988173,1.2059068121055296,129.30789302999997,107.22876074,0.20256084669724775,3.348864367445904,0.7039890497195747,1.384397807333328,13.63302752293578,10,,,,
AlphaSqueezeHi,2019,ETH/USDT,107,40,67,37.38317757009346,4.268501488,42.685014880000004,0.39858357140723255,1.3996086014251576,149.50207218999998,106.81705730999998,0.3989253727102804,2.0208664079438803,1.2249880362361578,2.7642509768829,12.626168224299066,7,,,,
AlphaMomentum,2019,ALL,100,30,70,30.0,-1.1021401750000004,-11.021401750000004,-0.11001430678071664,0.92199586411654,130.27112877,141.29253051999999,-0.11021401750000004,3.749764258259954,-0.344674470367265,-0.572114682106203,11.389999999999999,12,4.155304497113263,-0.17239634223649122,-0.33872299267390443,0.0
AlphaMomentum,2019,BTC/USDT,55,17,38,30.909090909090907,0.9709749520000001,9.70974952,0.17661752090873364,1.1422729896186463,77.95706439,68.24731487,0.17654090036363637,1.722986362412529,0.43508633904607996,0.8103855838516872,12.036363636363635,7,,,,
AlphaMomentum,2019,ETH/USDT,45,13,32,28.888888888888886,-2.0731151270000003,-20.73115127,-0.4603420961789337,0.7161874178134486,52.31406438,73.04521564999999,-0.4606922504444445,4.017028221955341,-0.9685190052584604,-1.4142058222836078,10.6,14,,,,
AlphaMomentumLo,2019,ALL,136,43,93,31.61764705882353,-2.602763767,-26.027637669999997,-0.19116204287828453,0.861189762153008,161.47753538999999,187.50517305999998,-0.19137968874999997,4.831289282418667,-0.652170398166209,-1.0577253752203768,11.382352941176471,11,5.454998482069844,-0.42838079117331823,-0.8545520516131475,0.0
AlphaMomentumLo,2019,BTC/USDT,73,24,49,32.87671232876712,0.5833998810000003,5.833998810000003,0.07996705867361069,1.067990511380282,91.64007221,85.8060734,0.07991779191780826,1.9006126431748875,0.24014562589494992,0.43312366597198493,11.589041095890412,7,,,,
AlphaMomentumLo,2019,ETH/USDT,63,19,44,30.158730158730158,-3.1861636480000004,-31.861636480000005,-0.5053275097558775,0.6867067989144476,69.83746317999999,101.69909965999999,-0.5057402615873017,5.258017088503243,-1.196818984781348,-1.627397711615261,11.142857142857142,13,,,,
AlphaMomentumHi,2019,ALL,52,21,31,40.38461538461539,1.6219114510000003,16.219114510000004,0.3117608281335597,1.2161838141188006,91.24376229,75.02464778,0.31190604826923085,2.5801042302326054,0.6171523390527438,1.1678195814747123,11.23076923076923,7,2.6075753939082795,0.22878034515639664,0.4659437985834122,0.0
AlphaMomentumHi,2019,BTC/USDT,30,13,17,43.333333333333336,1.8465192009999996,18.465192009999996,0.6152026221221923,1.5024660313786795,55.21432699,36.749134979999994,0.6155064003333331,1.3497464990445192,1.0150185647978445,2.1964523132501323,12.133333333333333,5,,,,
AlphaMomentumHi,2019,ETH/USDT,22,8,14,36.36363636363637,-0.22460774999999997,-2.2460774999999997,-0.10202343639639404,0.9413181604715167,36.029435299999996,38.2755128,-0.1020944318181818,1.9599428384824462,-0.11383368702416632,-0.1642689689658914,10.0,7,,,,
LabBaseline,2020,ALL,210,80,130,38.095238095238095,6.083255296999999,60.832552969999995,0.2896071755226553,1.223960942667295,332.45381088,271.62125790999994,0.28967882366666664,5.2762304542538505,1.0226876950899921,1.656135937199005,30.380952380952383,11,5.64867658909846,0.9209185764099908,1.9345493665856726,0.0
LabBaseline,2020,BTC/USDT,108,41,67,37.96296296296296,3.4023734400000003,34.0237344,0.31509152351786185,1.2957876027660733,149.05132204,115.02758764000001,0.3150345777777778,2.794911931852409,1.0568203504134737,1.831877309854355,33.06481481481482,9,,,,
LabBaseline,2020,ETH/USDT,102,39,63,38.23529411764706,2.6808818569999984,26.808818569999982,0.262623748233613,1.171199886456305,183.40248884,156.59367026999996,0.26283155460784297,2.627611874328367,0.6920166886789428,1.1036555226015405,27.53921568627451,6,,,,
AlphaTrend,2020,ALL,97,29,68,29.896907216494846,-1.6990052770000001,-16.990052770000002,-0.1750552686294984,0.8744015193323207,118.28270434999999,135.27275712,-0.1751551831958763,5.491148909822511,-0.4875168190953919,-0.7553025822940299,19.92783505154639,14,5.7423679806057875,-0.28283719586563666,-0.6800102706425719,0.0
AlphaTrend,2020,BTC/USDT,51,12,39,23.52941176470588,-2.152961812,-21.52961812,-0.4219408869676408,0.688750280333196,47.64190802,69.17152614000001,-0.42214937490196075,3.859794650977465,-1.072693277362306,-1.5994987929653317,19.745098039215687,18,,,,
AlphaTrend,2020,ETH/USDT,46,17,29,36.95652173913043,0.45395653499999983,4.539565349999998,0.09866574300626825,1.0686759578104303,70.64079633,66.10123098000001,0.09868620326086953,1.9700484687084685,0.19481010429175125,0.31902447000709855,20.130434782608695,6,,,,
AlphaTrendLo,2020,ALL,134,35,99,26.119402985074625,-4.236196427,-42.36196427,-0.3159124440623746,0.7731268786702039,144.35898364000002,186.72094790999998,-0.31613406171641795,7.310033643737851,-1.0796045239619592,-1.5653033195914676,18.238805970149254,15,7.51657764572516,-0.7312828644498496,-1.6018044030456584,0.0
AlphaTrendLo,2020,BTC/USDT,68,15,53,22.058823529411764,-2.4221210479999993,-24.221210479999993,-0.3560544917380998,0.7057437964107087,58.09212798,82.31333846,-0.35619427176470575,4.066518722590324,-1.1089647362053194,-1.6912255278111874,18.676470588235293,16,,,,
AlphaTrendLo,2020,ETH/USDT,66,20,46,30.303030303030305,-1.8140753789999997,-18.140753789999998,-0.27455397069950627,0.8262506546643281,86.26685565999999,104.40760945,-0.2748599059090909,3.503989833205281,-0.6619279946829301,-0.9910640398981488,17.78787878787879,6,,,,
AlphaTrendHi,2020,ALL,63,17,46,26.984126984126984,-1.9208583229999996,-19.208583229999995,-0.3046651229555617,0.7796999230309032,67.98422893,87.19281216,-0.30489814650793645,4.4656767641124455,-0.723157225324742,-1.0723473673845074,21.523809523809522,24,4.8150241214032095,-0.3392845159912576,-0.8170685255557599,0.0
AlphaTrendHi,2020,BTC/USDT,35,8,27,22.857142857142858,-2.0275003429999994,-20.275003429999995,-0.5788814769877423,0.5767605362804945,27.62932773,47.90433116,-0.5792858122857142,3.8607815206812677,-1.281452681984616,-1.7826749118827672,21.285714285714285,15,,,,
AlphaTrendHi,2020,ETH/USDT,28,9,19,32.142857142857146,0.10664202,1.0664202,0.03810531958466388,1.027143329873201,40.3549012,39.28848100000001,0.038086435714285716,1.4802063173438926,0.06079850287982457,0.10366029627072838,21.82142857142857,9,,,,
AlphaBreakout,2020,ALL,143,74,69,51.74825174825175,13.946771860000002,139.4677186,0.9745498716949413,1.8396091937486128,305.57799900000003,166.11028040000002,0.9752987314685315,1.8808656849603804,2.6112427296470546,5.626683879747354,23.783216783216783,7,2.310202136512254,1.9917056313367907,4.603259450090707,0.0
AlphaBreakout,2020,BTC/USDT,70,32,38,45.714285714285715,4.793941702,47.93941702,0.6844465602337946,1.6033329951401436,127.39705882999999,79.45764181,0.6848488145714285,1.1702686791683343,1.5115209722467224,3.0658126071427505,26.47142857142857,6,,,,
AlphaBreakout,2020,ETH/USDT,73,42,31,57.534246575342465,9.152830157999999,91.52830157999999,1.2527311292604244,2.0562667573583004,178.18094017,86.65263859,1.2538123504109588,1.0869562072176047,2.384133925702473,5.262222498641164,21.205479452054796,3,,,,
AlphaBreakoutLo,2020,ALL,146,74,72,50.68493150684932,13.120918259000002,131.20918259,0.8979466188276151,1.7524608933203043,305.58260685000005,174.37342426,0.8986930314383562,2.2749973611734844,2.4316010551478646,5.080219652629792,24.04109589041096,7,2.705620773460776,1.8719346050740022,4.381652547974872,0.0
AlphaBreakoutLo,2020,BTC/USDT,72,32,40,44.44444444444444,4.178014356,41.78014356,0.579835111518737,1.4879630966321917,127.40166668,85.62152312,0.5802797716666667,1.5250120134204894,1.3024967476265168,2.5621293934777154,26.625,6,,,,
AlphaBreakoutLo,2020,ETH/USDT,74,42,32,56.75675675675676,8.942903903,89.42903903,1.2074605178308475,2.00762955926918,178.18094017,88.75190114,1.2085005274324323,1.089129179078472,2.325137768016155,5.104386184063115,21.527027027027028,3,,,,
AlphaBreakoutHi,2020,ALL,141,71,70,50.35460992907801,12.236114493,122.36114493000001,0.8671256790520051,1.7327447268423335,289.35128549000007,166.99014056,0.8678095385106384,1.9018753869960003,2.3762154880048434,4.884113283830693,23.886524822695037,7,2.3359848061134465,1.7564683386110755,4.040963466953418,0.0
AlphaBreakoutHi,2020,BTC/USDT,69,31,38,44.927536231884055,3.794991409,37.94991409,0.5496439440842863,1.477611885094026,117.4075559,79.45764181,0.5499987549275362,1.172496048507179,1.2262242050313183,2.4269657891035052,26.782608695652176,6,,,,
AlphaBreakoutHi,2020,ETH/USDT,72,40,32,55.55555555555556,8.441123084,84.41123084,1.1713790083960691,1.9643416107780198,171.94372959,87.53249875,1.1723782061111112,1.0921476517765254,2.215700426271634,4.846827548005186,21.11111111111111,3,,,,
AlphaReversion,2020,ALL,1,1,0,100.0,0.099877061,0.99877061,0.9978405256748963,,0.99877061,-0.0,0.99877061,0.0,0.9986329453622239,,18.0,0,0.04315723717907846,-100.0,-100.0,0.0
AlphaReversion,2020,BTC/USDT,1,1,0,100.0,0.099877061,0.99877061,0.9978405256748963,,0.99877061,-0.0,0.99877061,0.0,0.9986329453622239,,18.0,0,,,,
AlphaReversion,2020,ETH/USDT,0,0,0,,0.0,0.0,,,0.0,-0.0,,0.0,,,,0,,,,
AlphaReversionLo,2020,ALL,1,1,0,100.0,0.099877061,0.99877061,0.9978405256748963,,0.99877061,-0.0,0.99877061,0.0,0.9986329453622239,,18.0,0,0.04315723717907846,-100.0,-100.0,0.0
AlphaReversionLo,2020,BTC/USDT,1,1,0,100.0,0.099877061,0.99877061,0.9978405256748963,,0.99877061,-0.0,0.99877061,0.0,0.9986329453622239,,18.0,0,,,,
AlphaReversionLo,2020,ETH/USDT,0,0,0,,0.0,0.0,,,0.0,-0.0,,0.0,,,,0,,,,
AlphaReversionHi,2020,ALL,1,1,0,100.0,0.099877061,0.99877061,0.9978405256748963,,0.99877061,-0.0,0.99877061,0.0,0.9986329453622239,,18.0,0,0.04315723717907846,-100.0,-100.0,0.0
AlphaReversionHi,2020,BTC/USDT,1,1,0,100.0,0.099877061,0.99877061,0.9978405256748963,,0.99877061,-0.0,0.99877061,0.0,0.9986329453622239,,18.0,0,,,,
AlphaReversionHi,2020,ETH/USDT,0,0,0,,0.0,0.0,,,0.0,-0.0,,0.0,,,,0,,,,
AlphaSqueeze,2020,ALL,219,88,131,40.182648401826484,11.881360222999998,118.81360222999999,0.5421632750515102,1.6248753074633908,308.9533002,190.13969797,0.5425278640639268,1.431758288577482,2.392260371989712,5.0703162551396055,14.17351598173516,9,1.761881716736225,2.162938532045902,5.628117445563309,0.0
AlphaSqueeze,2020,BTC/USDT,110,43,67,39.09090909090909,5.1834885590000015,51.83488559000001,0.4710028564189026,1.5713343048313668,142.56090213,90.72601654,0.47122623263636376,1.0939832976550872,1.7388741939246464,3.6597343407410055,15.027272727272727,4,,,,
AlphaSqueeze,2020,ETH/USDT,109,45,64,41.284403669724774,6.697871663999999,66.97871663999999,0.6139765415614812,1.6737374139711507,166.39239807,99.41368143,0.6144836388990824,1.0726398996322617,2.121122268888023,4.509006269561213,13.311926605504588,5,,,,
AlphaSqueezeLo,2020,ALL,190,74,116,38.94736842105263,9.730698393,97.30698393,0.5116889183008111,1.5753595431703584,266.43076937000006,169.12378543999998,0.5121420206842106,1.9700395964183184,2.035010422705768,4.29516712320864,13.852631578947369,8,2.3826432672199145,1.755226953715217,4.4770743166498,0.0
AlphaSqueezeLo,2020,BTC/USDT,98,35,63,35.714285714285715,3.2101966269999997,32.10196627,0.3272278687584359,1.3697122733908766,118.93155939000002,86.82959312,0.32757108438775506,1.3562374059708677,1.1808029957188209,2.2886664522197067,14.479591836734695,7,,,,
AlphaSqueezeLo,2020,ETH/USDT,92,39,53,42.391304347826086,6.520501766000002,65.20501766000002,0.708180036291602,1.792340453460568,147.49920998000002,82.29419232000001,0.708750191956522,0.9729740384401177,2.1610253665251036,4.682360226186165,13.184782608695652,4,,,,
AlphaSqueezeHi,2020,ALL,241,95,146,39.41908713692946,12.259942344999999,122.59942344999999,0.5083645348408452,1.5638314469432457,340.03927026,217.43984681,0.5087113006224065,2.394143865026696,2.297562779027483,4.793598113615133,14.12863070539419,11,2.5294114965660466,2.2044477664838467,5.653989562769849,0.0
AlphaSqueezeHi,2020,BTC/USDT,121,46,75,38.01652892561984,5.108825557000001,51.08825557000001,0.42201462560426056,1.4797945160248196,157.56770429999997,106.47944873000002,0.42221698818181824,1.3750346666094382,1.6088338175315864,3.2668345095829454,14.611570247933884,7,,,,
AlphaSqueezeHi,2020,ETH/USDT,120,49,71,40.833333333333336,7.151116788,71.51116788,0.5954340266544014,1.6444746875226786,182.47156596000002,110.96039808,0.595926399,1.5089085324534224,2.1236950799501697,4.427904851434619,13.641666666666667,6,,,,
AlphaMomentum,2020,ALL,134,47,87,35.07462686567165,-0.14015646399999956,-1.4015646399999957,-0.01047235940958958,0.9917324241591519,168.1239005,169.52546514,-0.010459437611940266,2.8250022254701883,-0.03427699628405664,-0.0570230156335492,13.134328358208956,13,2.9717992394491377,-0.02367985544641698,-0.053256994730580605,0.0
AlphaMomentum,2020,BTC/USDT,66,28,38,42.42424242424242,2.32807947,23.2807947,0.35245257597941265,1.322533410341726,95.46182759,72.18103289000001,0.3527393136363637,1.1364600119999977,0.8334622929836722,1.6246760176647221,14.833333333333334,6,,,,
AlphaMomentum,2020,ETH/USDT,68,19,49,27.941176470588236,-2.468235934000001,-24.68235934000001,-0.36272303199303296,0.7464430294625299,72.66207290999999,97.34443225,-0.36297587264705894,3.3638013264425255,-1.0183515695203857,-1.567435011340079,11.48529411764706,7,,,,
AlphaMomentumLo,2020,ALL,201,72,129,35.82089552238806,0.49507477600000005,4.9507477600000005,0.02465662187250871,1.0202246810429716,249.73818097,244.78743321000002,0.02463058587064677,3.925432287220485,0.10390949041819342,0.17865113665572582,13.18407960199005,8,4.079574008227172,0.08521932931643543,0.18738978961062794,0.0
AlphaMomentumLo,2020,BTC/USDT,92,40,52,43.47826086956522,3.0363204260000005,30.363204260000007,0.3298904189806764,1.3309237776227492,122.11606795,91.75286369000001,0.33003482891304353,1.3746096979999947,1.0097387276365786,1.9395416324248627,15.282608695652174,5,,,,
AlphaMomentumLo,2020,ETH/USDT,109,32,77,29.357798165137616,-2.54124565,-25.4124565,-0.23297190412704563,0.8339430327428151,127.62211302,153.03456952000002,-0.2331418027522936,5.003205433805497,-0.7919902774965192,-1.2869529110666513,11.412844036697248,11,,,,
AlphaMomentumHi,2020,ALL,66,26,40,39.39393939393939,1.705737439,17.05737439,0.25845319106939396,1.1944745156920606,104.76744956,87.71007517000001,0.25844506651515153,1.9619165088967967,0.5742324481366639,0.9175300574460646,13.848484848484848,8,2.1527572906894323,0.2598424947683949,0.591460907907222,0.0
AlphaMomentumHi,2020,BTC/USDT,38,17,21,44.73684210526316,3.3790349540000006,33.79034954000001,0.888830385539866,1.9492529141085981,69.38713206000001,35.596782520000005,0.8892197247368423,1.14431089390653,1.5122230750785353,3.5987125806948916,15.710526315789474,6,,,,
