dataset,year,pair,feature,reference_year,standardized_mean_shift,ks_statistic,reference_n,n
A_portfolio,2020,BTC/USDT,day_of_week,2019,-0.1044571265854089,0.08333333333333333,108,108
A_portfolio,2020,BTC/USDT,distance_high_24,2019,0.05312227666993143,0.2222222222222222,108,108
A_portfolio,2020,BTC/USDT,distance_low_24,2019,0.021169561590161964,0.1111111111111111,108,108
A_portfolio,2020,BTC/USDT,distance_high_168,2019,0.0689093078332297,0.16666666666666666,108,108
A_portfolio,2020,BTC/USDT,distance_low_168,2019,0.35849619285933215,0.16666666666666666,108,108
A_portfolio,2020,BTC/USDT,candles_since_prior_signal,2019,0.019684607459075413,0.09259259259259259,108,108
A_portfolio,2020,BTC/USDT,source_synthetic,2019,,0.0,108,108
A_portfolio,2020,BTC/USDT,return_1h,2019,0.06657822855290348,0.1111111111111111,108,108
A_portfolio,2020,BTC/USDT,return_3h,2019,0.017533812147090242,0.1388888888888889,108,108
A_portfolio,2020,BTC/USDT,return_6h,2019,-0.04529251419914739,0.12962962962962962,108,108
A_portfolio,2020,BTC/USDT,return_12h,2019,0.032667033230902164,0.1388888888888889,108,108
A_portfolio,2020,BTC/USDT,return_24h,2019,-0.023814801380438573,0.12037037037037036,108,108
A_portfolio,2020,BTC/USDT,return_72h,2019,0.06638946536579672,0.1574074074074074,108,108
A_portfolio,2020,BTC/USDT,return_168h,2019,0.12785782898650377,0.1388888888888889,108,108
A_portfolio,2020,BTC/USDT,volatility_ratio_24_168,2019,-0.10001515815471838,0.10185185185185185,108,108
A_portfolio,2020,BTC/USDT,natr_ratio_168,2019,-0.15544815644353796,0.1388888888888889,108,108
A_portfolio,2020,BTC/USDT,up_fraction_24,2019,0.0,0.07407407407407407,108,108
A_portfolio,2020,BTC/USDT,volume_price_interaction,2019,-0.029805155680974846,0.12962962962962962,108,108
A_portfolio,2020,BTC/USDT,range_expansion_24,2019,-0.01978931968643547,0.09259259259259259,108,108
A_portfolio,2020,BTC/USDT,signal_density_168,2019,0.20839801126921473,0.08333333333333333,108,108
A_portfolio,2020,ETH/USDT,ema20_distance,2019,0.1343458454713024,0.14160272804774082,115,102
A_portfolio,2020,ETH/USDT,ema50_distance,2019,0.117219268951601,0.12199488491048593,115,102
A_portfolio,2020,ETH/USDT,ema_gap,2019,0.02186478259241331,0.14049445865302643,115,102
A_portfolio,2020,ETH/USDT,ema20_slope_6,2019,0.11459763769109779,0.1699062233589088,115,102
A_portfolio,2020,ETH/USDT,ema50_slope_6,2019,0.08630361620977071,0.14825234441602728,115,102
A_portfolio,2020,ETH/USDT,trend_efficiency_20,2019,0.2013322451317397,0.1762148337595908,115,102
A_portfolio,2020,ETH/USDT,range_ratio,2019,0.14010341733036533,0.13384484228473997,115,102
A_portfolio,2020,ETH/USDT,body_to_range,2019,0.021886218390456114,0.0711849957374254,115,102
A_portfolio,2020,ETH/USDT,close_location,2019,0.38689195174642627,0.1815856777493606,115,102
A_portfolio,2020,ETH/USDT,natr14,2019,0.23576550154099682,0.1567774936061381,115,102
A_portfolio,2020,ETH/USDT,return_std_24,2019,0.1103068958826848,0.1702472293265132,115,102
A_portfolio,2020,ETH/USDT,return_std_168,2019,0.25642133701413977,0.13009377664109123,115,102
A_portfolio,2020,ETH/USDT,volatility_percentile_720,2019,0.0097781095607047,0.05387894288150043,115,102
A_portfolio,2020,ETH/USDT,rsi14,2019,0.12266998834957771,0.12216538789428814,115,102
A_portfolio,2020,ETH/USDT,macd_ratio,2019,0.11473442374766006,0.16342710997442456,115,102
A_portfolio,2020,ETH/USDT,macd_signal_ratio,2019,0.09473387097638614,0.13478260869565217,115,102
A_portfolio,2020,ETH/USDT,relative_volume_24,2019,0.05703790374311218,0.20187553282182438,115,102
A_portfolio,2020,ETH/USDT,volume_zscore_24,2019,0.08670292058279705,0.07297527706734867,115,102
A_portfolio,2020,ETH/USDT,volume_trend_24_168,2019,-0.05501506621172493,0.10630861040068201,115,102
A_portfolio,2020,ETH/USDT,regime_duration,2019,0.10046695044537378,0.12514919011082695,115,102
A_portfolio,2020,ETH/USDT,regime_transition,2019,0.19650540866096117,0.06453537936913896,115,102
