feature,count,mean,std,min,5%,25%,50%,75%,95%,max,dataset,year,pair
return_6h,115.0,0.009077594395429373,0.01748666106711003,-0.04154213986849975,-0.012438085158374846,-0.0005712030187950412,0.005013561272293909,0.016707085621524453,0.039833349420141065,0.0710482062780271,B_opportunities,2019,ETH/USDT
return_12h,115.0,0.014916503544277142,0.022764677044291505,-0.024421093597976173,-0.012192705811625393,-0.0020786655219363626,0.010342307908492998,0.02597209600120265,0.06016217596988625,0.09732906906387773,B_opportunities,2019,ETH/USDT
return_24h,115.0,0.023600868486984925,0.02316433969045324,-0.024610894941634154,-0.004223868625421012,0.008833498052820632,0.01853255253186359,0.03502226566989286,0.06881688290889856,0.11388962007545844,B_opportunities,2019,ETH/USDT
return_72h,115.0,0.0031448032043374405,0.0543015236635906,-0.1416618911174785,-0.08856210860789601,-0.019907412550603187,-0.00029088793542286773,0.025409525490024287,0.09763712929274512,0.15993992866529005,B_opportunities,2019,ETH/USDT
return_168h,115.0,-0.0028920650519531545,0.09386177001398542,-0.20290785671696565,-0.1444046361977308,-0.06479327369529392,-0.009641743075905151,0.04723839804102392,0.1584661349178348,0.3049202333625898,B_opportunities,2019,ETH/USDT
volatility_ratio_24_168,115.0,0.8238190867092283,0.2757196292839691,0.1935092177079837,0.4620314694350773,0.6403725589548837,0.7739776165317772,0.9862125798975399,1.4125703713105977,1.577717828417034,B_opportunities,2019,ETH/USDT
natr_ratio_168,115.0,0.9121721872082625,0.2469603527127929,0.5545291740828759,0.6055688883414071,0.7275803960484009,0.8887373189160945,1.0684322501009995,1.2874565471849813,2.239979613168745,B_opportunities,2019,ETH/USDT
up_fraction_24,115.0,0.5369565217391304,0.0733752740478476,0.2916666666666667,0.4166666666666667,0.5,0.5416666666666666,0.5833333333333334,0.625,0.7083333333333334,B_opportunities,2019,ETH/USDT
volume_price_interaction,115.0,0.002887858324052145,0.01638922984437446,-0.031167685882249777,-0.008870863831573195,-0.002011265347407109,-0.0003098013567097997,0.002534762987652694,0.029673954431068766,0.10829780255580088,B_opportunities,2019,ETH/USDT
range_expansion_24,115.0,1.0409158375904872,0.7454634396045847,0.33747089804375946,0.40505903665660337,0.593300851108622,0.8312460906961531,1.2217798350296079,2.3168901086092912,5.116498101980903,B_opportunities,2019,ETH/USDT
signal_density_168,115.0,0.016459627329192546,0.004752133012612463,0.005952380952380952,0.011904761904761904,0.011904761904761904,0.017857142857142856,0.017857142857142856,0.023809523809523808,0.02976190476190476,B_opportunities,2019,ETH/USDT
ema20_distance,108.0,0.007413570455897465,0.010395856137412292,-0.02274682235772496,-0.006768830622134719,0.0011200965653840878,0.004883218216874763,0.013162759433082871,0.026383941140830636,0.04017443311587532,B_opportunities,2020,BTC/USDT
ema50_distance,108.0,0.008337176874293918,0.014882240046232476,-0.05809508443551126,-0.013116423187553343,0.0011075548870101426,0.007169118690986354,0.01747537211456318,0.03189762268233536,0.05234224213790939,B_opportunities,2020,BTC/USDT
ema_gap,108.0,0.0007973724789823279,0.0072815054593186905,-0.05377998312945198,-0.00965781094217869,-0.0007063057691501125,0.0016553164965471014,0.00415139705134917,0.008202739952045401,0.013274966985263575,B_opportunities,2020,BTC/USDT
ema20_slope_6,108.0,0.0035570287904708657,0.005075562398421823,-0.00738222214249884,-0.004801788537992229,0.0009483313441627783,0.0026872068177691277,0.005915922072360136,0.012629911391438705,0.0220807393115261,B_opportunities,2020,BTC/USDT
ema50_slope_6,108.0,0.0013596275342422134,0.0030955222833252407,-0.015883374616044388,-0.0031217031377511356,0.0001678229909351514,0.0015495719488837212,0.0027046834237535178,0.005693194267735989,0.010138362882078145,B_opportunities,2020,BTC/USDT
trend_efficiency_20,108.0,0.26654141418976285,0.16874572944795668,0.00027160382055810387,0.01759296975635849,0.1361101564126502,0.2523369243945052,0.3760454640358044,0.5633801000918799,0.668122106372565,B_opportunities,2020,BTC/USDT
range_ratio,108.0,0.00873812953149823,0.005873369572494622,0.0015413487839621711,0.0027249257832319693,0.004958492277229152,0.007108271879355142,0.010565939684257942,0.018344183042066132,0.03361344537815126,B_opportunities,2020,BTC/USDT
body_to_range,108.0,0.4112847281603077,0.25536905936283594,0.002237521514616159,0.03582764351732204,0.20185493692910422,0.37409111572004605,0.611761402599059,0.8197829478027898,0.9443423671719527,B_opportunities,2020,BTC/USDT
close_location,108.0,0.56360442457957,0.2786102765893858,0.03107826416526859,0.1363944434479172,0.3380679809560319,0.5797618692752486,0.8131507778790747,0.9511894830078326,0.9982837071924632,B_opportunities,2020,BTC/USDT
natr14,108.0,0.00909385103297384,0.006223704737948736,0.002575243953523054,0.003656613765583077,0.005687526697077847,0.007543778511534974,0.010572631103516753,0.022498157271484496,0.04496036080074833,B_opportunities,2020,BTC/USDT
return_std_24,108.0,0.005601194969464042,0.0047199856865919616,0.001209435490969921,0.001929504773503711,0.003047704891163208,0.004334114227696683,0.006321898067227216,0.012673197952754234,0.03648190559895041,B_opportunities,2020,BTC/USDT
return_std_168,108.0,0.007163160111893154,0.005885005453245743,0.0016590163168790652,0.002902793273448414,0.004333845010306228,0.005872846351539996,0.007643515862872359,0.015280764436950882,0.035201328551682266,B_opportunities,2020,BTC/USDT
volatility_percentile_720,108.0,0.4225823045267489,0.307232627995748,0.002777777777777778,0.029166666666666667,0.14618055555555554,0.35416666666666663,0.6982638888888888,0.8931249999999998,0.9847222222222223,B_opportunities,2020,BTC/USDT
rsi14,108.0,58.44170260696625,9.359246258928259,40.51693752810805,42.59992377212236,51.78763996453878,58.004487454792454,65.509703908708,74.81684155621298,81.5276082032496,B_opportunities,2020,BTC/USDT
macd_ratio,108.0,0.00260699563406204,0.0035438518040501925,-0.008748231593680761,-0.0013056040696944838,0.0007501255906778016,0.0020107431778602003,0.004136406823255769,0.009737674305097924,0.01645374920967513,B_opportunities,2020,BTC/USDT
macd_signal_ratio,108.0,0.0014370779617857317,0.00240290938324694,-0.009736920718645799,-0.0012522813728361943,0.0004065763819373086,0.0011579146255840422,0.00228802001919753,0.006172068225968872,0.009583478766659489,B_opportunities,2020,BTC/USDT
relative_volume_24,108.0,1.1594095423035038,0.8101864839342382,0.33904059849065854,0.44018852472588865,0.6625962114376982,0.9342160085187249,1.3466289536636329,2.6018223682760597,5.591256933659322,B_opportunities,2020,BTC/USDT
volume_zscore_24,108.0,0.24690862429521074,1.3063729436015448,-1.52836632187259,-1.0052430856372876,-0.6662623814816846,-0.16793378989262608,0.7384944958107426,3.2806303274715742,4.265543122263062,B_opportunities,2020,BTC/USDT
volume_trend_24_168,108.0,-0.1388920049144406,0.24909987825760835,-0.5108728171494761,-0.4393018648038774,-0.3093491372888939,-0.19190431591907753,-0.010984752844620721,0.27535929162626543,1.1454482735676255,B_opportunities,2020,BTC/USDT
regime_duration,108.0,27.00925925925926,43.74661436734335,1.0,1.0,3.0,10.0,35.0,86.5999999999998,281.0,B_opportunities,2020,BTC/USDT
regime_transition,108.0,0.14814814814814814,0.3569029506249042,0.0,0.0,0.0,0.0,0.0,1.0,1.0,B_opportunities,2020,BTC/USDT
hour_of_day,108.0,10.027777777777779,6.670423396352316,0.0,0.35000000000000053,4.0,10.5,14.25,21.64999999999999,23.0,B_opportunities,2020,BTC/USDT
day_of_week,108.0,2.935185185185185,2.074649607385144,0.0,0.0,1.0,3.0,5.0,6.0,6.0,B_opportunities,2020,BTC/USDT
distance_high_24,108.0,-0.011090636199259808,0.015577663262493604,-0.11719191919191918,-0.03648235385582922,-0.013450245496565344,-0.005992810286915284,-0.0029871476257898044,-0.000716496436175749,-3.0714285714328327e-05,B_opportunities,2020,BTC/USDT
distance_low_24,108.0,0.03438094738825254,0.025818977910086104,0.003832293832293887,0.007815996991472174,0.018143212881397752,0.029260312891072116,0.04414565267731857,0.08108365162268986,0.15694444444444455,B_opportunities,2020,BTC/USDT
