dataset,year,feature,target,method,r,n
A_portfolio,ALL,return_3h,profitable_after_fees,pearson,0.04747072907209481,1271
A_portfolio,ALL,return_3h,profitable_after_fees,spearman,0.040789777813154945,1271
A_portfolio,ALL,return_6h,profitable_after_fees,pearson,0.10756783450421063,1271
A_portfolio,ALL,return_6h,profitable_after_fees,spearman,0.07431762809657282,1271
A_portfolio,ALL,return_12h,profitable_after_fees,pearson,0.12161605524215817,1271
A_portfolio,ALL,return_12h,profitable_after_fees,spearman,0.11355095676803144,1271
A_portfolio,ALL,return_24h,profitable_after_fees,pearson,0.10634425881003777,1271
A_portfolio,ALL,return_24h,profitable_after_fees,spearman,0.13158864743292067,1271
A_portfolio,ALL,return_72h,profitable_after_fees,pearson,0.06348432398603046,1271
A_portfolio,ALL,return_72h,profitable_after_fees,spearman,0.05421668510288258,1271
A_portfolio,ALL,return_168h,profitable_after_fees,pearson,0.07208407188408708,1271
A_portfolio,ALL,return_168h,profitable_after_fees,spearman,0.06596551059090233,1271
A_portfolio,ALL,volatility_ratio_24_168,profitable_after_fees,pearson,0.10327787342645721,1271
A_portfolio,ALL,volatility_ratio_24_168,profitable_after_fees,spearman,0.11359600594551618,1271
A_portfolio,ALL,natr_ratio_168,profitable_after_fees,pearson,0.06277668474011373,1271
A_portfolio,ALL,natr_ratio_168,profitable_after_fees,spearman,0.07245709706645313,1271
A_portfolio,ALL,up_fraction_24,profitable_after_fees,pearson,0.061602492397190116,1271
A_portfolio,ALL,up_fraction_24,profitable_after_fees,spearman,0.06764964491615716,1271
A_portfolio,ALL,volume_price_interaction,profitable_after_fees,pearson,-0.03297585679204084,1271
A_portfolio,ALL,volume_price_interaction,profitable_after_fees,spearman,-0.00591045208599767,1271
A_portfolio,ALL,range_expansion_24,profitable_after_fees,pearson,-0.04855761761407194,1271
A_portfolio,ALL,range_expansion_24,profitable_after_fees,spearman,-0.02154251667320187,1271
A_portfolio,ALL,signal_density_168,profitable_after_fees,pearson,0.018769351710321604,1271
A_portfolio,ALL,signal_density_168,profitable_after_fees,spearman,0.019243900168411515,1271
A_portfolio,ALL,ema20_distance,return_above_0_5_percent,pearson,0.17224753244198382,1271
A_portfolio,ALL,ema20_distance,return_above_0_5_percent,spearman,0.1657066920836655,1271
A_portfolio,ALL,ema50_distance,return_above_0_5_percent,pearson,0.18664618455113202,1271
A_portfolio,ALL,ema50_distance,return_above_0_5_percent,spearman,0.18102580865777687,1271
A_portfolio,ALL,ema_gap,return_above_0_5_percent,pearson,0.1333822511830478,1271
A_portfolio,ALL,ema_gap,return_above_0_5_percent,spearman,0.14142451158061342,1271
A_portfolio,ALL,ema20_slope_6,return_above_0_5_percent,pearson,0.16737733259518625,1271
A_portfolio,ALL,ema20_slope_6,return_above_0_5_percent,spearman,0.1794812597822936,1271
A_portfolio,ALL,ema50_slope_6,return_above_0_5_percent,pearson,0.17350046506241484,1271
A_portfolio,ALL,ema50_slope_6,return_above_0_5_percent,spearman,0.18594028235249632,1271
A_portfolio,ALL,trend_efficiency_20,return_above_0_5_percent,pearson,0.1374120435197113,1271
A_portfolio,ALL,trend_efficiency_20,return_above_0_5_percent,spearman,0.148922594303414,1271
A_portfolio,ALL,range_ratio,return_above_0_5_percent,pearson,0.06286083358114884,1271
A_portfolio,ALL,range_ratio,return_above_0_5_percent,spearman,0.06495062043964032,1271
A_portfolio,ALL,body_to_range,return_above_0_5_percent,pearson,-0.01064873414257813,1271
A_portfolio,ALL,body_to_range,return_above_0_5_percent,spearman,-0.012089605289009943,1271
A_portfolio,ALL,close_location,return_above_0_5_percent,pearson,-0.0013631341605860156,1271
A_portfolio,ALL,close_location,return_above_0_5_percent,spearman,-0.0005522932826816087,1271
A_portfolio,ALL,natr14,return_above_0_5_percent,pearson,0.08256117964452636,1271
A_portfolio,ALL,natr14,return_above_0_5_percent,spearman,0.12160280101191145,1271
A_portfolio,ALL,return_std_24,return_above_0_5_percent,pearson,0.09484384039121475,1271
A_portfolio,ALL,return_std_24,return_above_0_5_percent,spearman,0.13397791382032892,1271
A_portfolio,ALL,return_std_168,return_above_0_5_percent,pearson,0.06311806207661316,1271
A_portfolio,ALL,return_std_168,return_above_0_5_percent,spearman,0.07224276331237649,1271
A_portfolio,ALL,volatility_percentile_720,return_above_0_5_percent,pearson,0.0575755144756639,1271
A_portfolio,ALL,volatility_percentile_720,return_above_0_5_percent,spearman,0.06310935015705199,1271
A_portfolio,ALL,rsi14,return_above_0_5_percent,pearson,0.1483893706856034,1271
A_portfolio,ALL,rsi14,return_above_0_5_percent,spearman,0.15115048904502018,1271
A_portfolio,ALL,macd_ratio,return_above_0_5_percent,pearson,0.18196002864504315,1271
A_portfolio,ALL,macd_ratio,return_above_0_5_percent,spearman,0.1985213350109782,1271
A_portfolio,ALL,macd_signal_ratio,return_above_0_5_percent,pearson,0.15540473808424615,1271
A_portfolio,ALL,macd_signal_ratio,return_above_0_5_percent,spearman,0.17724868458954957,1271
A_portfolio,ALL,relative_volume_24,return_above_0_5_percent,pearson,-0.0006118593594254599,1271
A_portfolio,ALL,relative_volume_24,return_above_0_5_percent,spearman,0.023055902304941145,1271
A_portfolio,ALL,volume_zscore_24,return_above_0_5_percent,pearson,0.004998261942052136,1271
A_portfolio,ALL,volume_zscore_24,return_above_0_5_percent,spearman,0.028915827129501907,1271
A_portfolio,ALL,volume_trend_24_168,return_above_0_5_percent,pearson,0.09850318331235593,1271
A_portfolio,ALL,volume_trend_24_168,return_above_0_5_percent,spearman,0.10761761301208114,1271
A_portfolio,ALL,regime_duration,return_above_0_5_percent,pearson,0.03194237038647159,1271
A_portfolio,ALL,regime_duration,return_above_0_5_percent,spearman,-0.07028990193214646,1271
A_portfolio,ALL,regime_transition,return_above_0_5_percent,pearson,0.03935350646190446,1271
A_portfolio,ALL,regime_transition,return_above_0_5_percent,spearman,0.03935350646190451,1271
A_portfolio,ALL,hour_of_day,return_above_0_5_percent,pearson,0.03639609865732746,1271
A_portfolio,ALL,hour_of_day,return_above_0_5_percent,spearman,0.03603726194555398,1271
