dataset,year,feature,btc_n,eth_n,ks_statistic
A_portfolio,2024,return_3h,106,99,0.23603964170001906
A_portfolio,2024,return_6h,106,99,0.14503525824280541
A_portfolio,2024,return_12h,106,99,0.09872307985515533
A_portfolio,2024,return_24h,106,99,0.16447493805984373
A_portfolio,2024,return_72h,106,99,0.08871736230226797
A_portfolio,2024,return_168h,106,99,0.1558986087287974
A_portfolio,2024,volatility_ratio_24_168,106,99,0.11358871736230226
A_portfolio,2024,natr_ratio_168,106,99,0.11282637697732037
A_portfolio,2024,up_fraction_24,106,99,0.12206975414522585
A_portfolio,2024,volume_price_interaction,106,99,0.16123499142367068
A_portfolio,2024,range_expansion_24,106,99,0.07432818753573471
A_portfolio,2024,signal_density_168,106,99,0.042119306270249665
B_opportunities,2019,ema20_distance,108,115,0.1497584541062802
B_opportunities,2019,ema50_distance,108,115,0.16207729468599033
B_opportunities,2019,ema_gap,108,115,0.13711755233494363
B_opportunities,2019,ema20_slope_6,108,115,0.17439613526570047
B_opportunities,2019,ema50_slope_6,108,115,0.15338164251207728
B_opportunities,2019,trend_efficiency_20,108,115,0.03904991948470209
B_opportunities,2019,range_ratio,108,115,0.199597423510467
B_opportunities,2019,body_to_range,108,115,0.10418679549114332
B_opportunities,2019,close_location,108,115,0.09549114331723027
B_opportunities,2019,natr14,108,115,0.26239935587761676
B_opportunities,2019,return_std_24,108,115,0.29492753623188406
B_opportunities,2019,return_std_168,108,115,0.25539452495974235
B_opportunities,2019,volatility_percentile_720,108,115,0.085829307568438
B_opportunities,2019,rsi14,108,115,0.1320450885668277
B_opportunities,2019,macd_ratio,108,115,0.16795491143317232
B_opportunities,2019,macd_signal_ratio,108,115,0.1533011272141707
B_opportunities,2019,relative_volume_24,108,115,0.09895330112721418
B_opportunities,2019,volume_zscore_24,108,115,0.0713365539452496
B_opportunities,2019,volume_trend_24_168,108,115,0.17045088566827699
B_opportunities,2019,regime_duration,108,115,0.0713365539452496
B_opportunities,2019,regime_transition,108,115,0.01714975845410628
B_opportunities,2019,hour_of_day,108,115,0.08518518518518518
B_opportunities,2019,day_of_week,108,115,0.04734299516908213
B_opportunities,2019,distance_high_24,108,115,0.22069243156199678
B_opportunities,2019,distance_low_24,108,115,0.20603864734299518
B_opportunities,2019,distance_high_168,108,115,0.18607085346215782
B_opportunities,2019,distance_low_168,108,115,0.20072463768115942
B_opportunities,2019,candles_since_prior_signal,108,115,0.06223832528180354
B_opportunities,2019,source_synthetic,108,115,0.0
B_opportunities,2019,return_1h,108,115,0.1570048309178744
B_opportunities,2019,return_3h,108,115,0.15225442834138486
B_opportunities,2019,return_6h,108,115,0.1320450885668277
B_opportunities,2019,return_12h,108,115,0.19428341384863124
B_opportunities,2019,return_24h,108,115,0.20942028985507247
B_opportunities,2019,return_72h,108,115,0.10571658615136877
B_opportunities,2019,return_168h,108,115,0.19098228663446054
B_opportunities,2019,volatility_ratio_24_168,108,115,0.11819645732689212
B_opportunities,2019,natr_ratio_168,108,115,0.08776167471819646
B_opportunities,2019,up_fraction_24,108,115,0.07979066022544283
B_opportunities,2019,volume_price_interaction,108,115,0.13260869565217392
B_opportunities,2019,range_expansion_24,108,115,0.1247987117552335
B_opportunities,2019,signal_density_168,108,115,0.08188405797101449
B_opportunities,2020,ema20_distance,108,102,0.2178649237472767
B_opportunities,2020,ema50_distance,108,102,0.1835511982570806
B_opportunities,2020,ema_gap,108,102,0.09803921568627451
B_opportunities,2020,ema20_slope_6,108,102,0.28594771241830064
B_opportunities,2020,ema50_slope_6,108,102,0.19226579520697168
B_opportunities,2020,trend_efficiency_20,108,102,0.1721132897603486
B_opportunities,2020,range_ratio,108,102,0.25272331154684097
B_opportunities,2020,body_to_range,108,102,0.05065359477124183
B_opportunities,2020,close_location,108,102,0.0659041394335512
B_opportunities,2020,natr14,108,102,0.3752723311546841
B_opportunities,2020,return_std_24,108,102,0.3790849673202614
B_opportunities,2020,return_std_168,108,102,0.3431372549019608
B_opportunities,2020,volatility_percentile_720,108,102,0.08115468409586056
B_opportunities,2020,rsi14,108,102,0.09368191721132897
B_opportunities,2020,macd_ratio,108,102,0.2935729847494553
B_opportunities,2020,macd_signal_ratio,108,102,0.25
B_opportunities,2020,relative_volume_24,108,102,0.0860566448801743
B_opportunities,2020,volume_zscore_24,108,102,0.06045751633986928
B_opportunities,2020,volume_trend_24_168,108,102,0.11764705882352941
B_opportunities,2020,regime_duration,108,102,0.07570806100217865
B_opportunities,2020,regime_transition,108,102,0.03812636165577342
B_opportunities,2020,hour_of_day,108,102,0.09586056644880174
B_opportunities,2020,day_of_week,108,102,0.0392156862745098
B_opportunities,2020,distance_high_24,108,102,0.2222222222222222
B_opportunities,2020,distance_low_24,108,102,0.315359477124183
B_opportunities,2020,distance_high_168,108,102,0.23583877995642702
B_opportunities,2020,distance_low_168,108,102,0.2374727668845316
B_opportunities,2020,candles_since_prior_signal,108,102,0.105119825708061
B_opportunities,2020,source_synthetic,108,102,0.0
B_opportunities,2020,return_1h,108,102,0.11492374727668846
B_opportunities,2020,return_3h,108,102,0.12418300653594772
B_opportunities,2020,return_6h,108,102,0.22004357298474944
B_opportunities,2020,return_12h,108,102,0.21895424836601307
B_opportunities,2020,return_24h,108,102,0.2647058823529412
B_opportunities,2020,return_72h,108,102,0.1377995642701525
B_opportunities,2020,return_168h,108,102,0.11819172113289761
B_opportunities,2020,volatility_ratio_24_168,108,102,0.10076252723311546
B_opportunities,2020,natr_ratio_168,108,102,0.1394335511982571
B_opportunities,2020,up_fraction_24,108,102,0.12309368191721133
B_opportunities,2020,volume_price_interaction,108,102,0.11655773420479303
B_opportunities,2020,range_expansion_24,108,102,0.07407407407407407
B_opportunities,2020,signal_density_168,108,102,0.08061002178649238
B_opportunities,2021,ema20_distance,98,105,0.16326530612244897
B_opportunities,2021,ema50_distance,98,105,0.12244897959183673
B_opportunities,2021,ema_gap,98,105,0.17891156462585034
B_opportunities,2021,ema20_slope_6,98,105,0.11564625850340136
B_opportunities,2021,ema50_slope_6,98,105,0.11156462585034013
B_opportunities,2021,trend_efficiency_20,98,105,0.11360544217687076
B_opportunities,2021,range_ratio,98,105,0.2863945578231292
B_opportunities,2021,body_to_range,98,105,0.14829931972789115
B_opportunities,2021,close_location,98,105,0.1598639455782313
B_opportunities,2021,natr14,98,105,0.3231292517006803
B_opportunities,2021,return_std_24,98,105,0.27346938775510204
B_opportunities,2021,return_std_168,98,105,0.32653061224489793
B_opportunities,2021,volatility_percentile_720,98,105,0.10272108843537416
B_opportunities,2021,rsi14,98,105,0.08435374149659863
B_opportunities,2021,macd_ratio,98,105,0.11496598639455782
B_opportunities,2021,macd_signal_ratio,98,105,0.20204081632653062
B_opportunities,2021,relative_volume_24,98,105,0.09319727891156462
B_opportunities,2021,volume_zscore_24,98,105,0.07210884353741497
B_opportunities,2021,volume_trend_24_168,98,105,0.11496598639455782
B_opportunities,2021,regime_duration,98,105,0.18979591836734694
B_opportunities,2021,regime_transition,98,105,0.04217687074829932
B_opportunities,2021,hour_of_day,98,105,0.09319727891156462
B_opportunities,2021,day_of_week,98,105,0.04353741496598639
B_opportunities,2021,distance_high_24,98,105,0.11224489795918367
B_opportunities,2021,distance_low_24,98,105,0.2707482993197279
B_opportunities,2021,distance_high_168,98,105,0.08707482993197278
B_opportunities,2021,distance_low_168,98,105,0.28435374149659864
B_opportunities,2021,candles_since_prior_signal,98,105,0.1251700680272109
B_opportunities,2021,source_synthetic,98,105,0.0
B_opportunities,2021,return_1h,98,105,0.17551020408163265
B_opportunities,2021,return_3h,98,105,0.19795918367346937
B_opportunities,2021,return_6h,98,105,0.11020408163265306
B_opportunities,2021,return_12h,98,105,0.12789115646258503
B_opportunities,2021,return_24h,98,105,0.15034013605442176
B_opportunities,2021,return_72h,98,105,0.10408163265306122
B_opportunities,2021,return_168h,98,105,0.15306122448979592
B_opportunities,2021,volatility_ratio_24_168,98,105,0.0945578231292517
B_opportunities,2021,natr_ratio_168,98,105,0.14829931972789115
B_opportunities,2021,up_fraction_24,98,105,0.13741496598639455
B_opportunities,2021,volume_price_interaction,98,105,0.1945578231292517
B_opportunities,2021,range_expansion_24,98,105,0.13333333333333333
B_opportunities,2021,signal_density_168,98,105,0.06326530612244897
B_opportunities,2022,ema20_distance,106,107,0.2031387762299418
B_opportunities,2022,ema50_distance,106,107,0.1856815376476812
B_opportunities,2022,ema_gap,106,107,0.14900370305060837
B_opportunities,2022,ema20_slope_6,106,107,0.2034914477164521
B_opportunities,2022,ema50_slope_6,106,107,0.1851525304179157
B_opportunities,2022,trend_efficiency_20,106,107,0.10112854875683301
B_opportunities,2022,range_ratio,106,107,0.19299947099277023
B_opportunities,2022,body_to_range,106,107,0.107829307000529
B_opportunities,2022,close_location,106,107,0.1993475577499559
B_opportunities,2022,natr14,106,107,0.2873390936342797
B_opportunities,2022,return_std_24,106,107,0.2961558807970376
B_opportunities,2022,return_std_168,106,107,0.33459707282666196
B_opportunities,2022,volatility_percentile_720,106,107,0.10835831423029448
B_opportunities,2022,rsi14,106,107,0.11514724034561806
B_opportunities,2022,macd_ratio,106,107,0.21301357785223066
B_opportunities,2022,macd_signal_ratio,106,107,0.1563216363956974
B_opportunities,2022,relative_volume_24,106,107,0.14494798095573974
B_opportunities,2022,volume_zscore_24,106,107,0.13551401869158877
B_opportunities,2022,volume_trend_24_168,106,107,0.1253747134544172
B_opportunities,2022,regime_duration,106,107,0.13789455122553343
B_opportunities,2022,regime_transition,106,107,0.0664785752071945
B_opportunities,2022,hour_of_day,106,107,0.09751366602010228
B_opportunities,2022,day_of_week,106,107,0.0698289543290425
B_opportunities,2022,distance_high_24,106,107,0.12898959619114794
B_opportunities,2022,distance_low_24,106,107,0.26961735143713633
B_opportunities,2022,distance_high_168,106,107,0.17571856815376477
B_opportunities,2022,distance_low_168,106,107,0.3063833539058367
