fold,evaluation_year,target,feature_set,model,pair,feature,ap_drop
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,natr14,0.007948975447747789
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_std_24,-0.0006524633324349605
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_std_168,0.02819408735621613
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,volatility_percentile_720,-0.009575964702274212
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,rsi14,-0.008845670002596099
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,macd_ratio,0.00524657658815771
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,macd_signal_ratio,-0.006387579602848341
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,relative_volume_24,-0.004241069076655483
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,volume_zscore_24,0.0038839376489442725
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,volume_trend_24_168,0.021139379177722423
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,regime_duration,-0.00457660065565794
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,regime_transition,0.0
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,hour_of_day,-0.0004160648510434702
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,day_of_week,7.929834678477299e-05
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,distance_high_24,-0.0030501641682075067
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,distance_low_24,0.004770167733739099
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,distance_high_168,-0.003145296258525739
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,distance_low_168,-0.012746160668421566
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,candles_since_prior_signal,-0.003498744828449326
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,pair,0.0
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,regime,-0.001155180847417688
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_1h,-0.0022900291047988444
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_3h,-0.017023664522055726
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_6h,0.0030114487450600227
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_12h,0.0014107898331798818
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_24h,-0.001409057613160088
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_72h,-0.01909808515408662
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,return_168h,-0.016620388338628295
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,volatility_ratio_24_168,0.02688161365802011
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,natr_ratio_168,0.01099402791235815
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,up_fraction_24,-0.0016038914764709238
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,volume_price_interaction,-0.00178670681312539
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,range_expansion_24,-0.01421289281010644
1,2020,profitable_after_fees,A_all,forest,ETH/USDT,signal_density_168,-0.0003077491163154811
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,ema20_distance,-0.0019510753364402704
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,ema50_distance,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,ema_gap,0.018198335866829507
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,ema20_slope_6,-0.0005760835207419731
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,ema50_slope_6,-0.0013647145181326925
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,trend_efficiency_20,-0.05033040946470293
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,range_ratio,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,body_to_range,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,close_location,0.005611727792829331
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,natr14,3.155766882791585e-05
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_std_24,0.0030148744485839853
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_std_168,-0.0018700888394858433
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,volatility_percentile_720,-0.0037904115428084952
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,rsi14,-0.004098568762356962
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,macd_ratio,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,macd_signal_ratio,0.0012203738487219968
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,relative_volume_24,0.00037131261744631033
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,volume_zscore_24,-0.0006094886375503742
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,volume_trend_24_168,-1.709246223450626e-05
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,regime_duration,0.00045512863611344806
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,regime_transition,0.0
