target,feature_set,model,split,threshold,trades,retained_pct,win_rate_pct,net_profit_usdt,return_pct,average_trade_pct,profit_factor,expectancy_usdt,closed_subset_drawdown_pct,btc_profit_usdt,eth_profit_usdt,regime_counts
profitable_after_fees,A_all,forest,validation,0.55,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,forest,validation,0.6,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,forest,validation,0.65,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,forest,validation,0.7,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,hist_gradient,development_oof,unfiltered,166,100.0,31.92771084337349,-7.420845229999996,-0.7420845229999996,-0.044855654672136896,0.9503796747445725,-0.044703886927710816,4.643765806825128,-18.820491420000003,11.399646189999997,"{'RANGE': 100, 'TREND_UP': 34, 'LOW_VOLATILITY': 30, 'TREND_DOWN': 2}"
profitable_after_fees,A_all,hist_gradient,development_oof,0.5,19,11.44578313253012,21.052631578947366,0.7616443199999994,0.07616443199999993,0.03999796978207368,1.0677470401031626,0.040086543157894707,0.9671753039999998,-6.819757299999999,7.581401620000001,"{'RANGE': 15, 'LOW_VOLATILITY': 3, 'TREND_UP': 1}"
profitable_after_fees,A_all,hist_gradient,development_oof,0.55,8,4.819277108433735,25.0,-0.2283574599999998,-0.02283574599999998,-0.028514637869579133,0.8977879350617815,-0.028544682499999974,0.20093014399999448,-1.30227669,1.07391923,"{'RANGE': 6, 'LOW_VOLATILITY': 2}"
profitable_after_fees,A_all,hist_gradient,development_oof,0.6,2,1.2048192771084338,50.0,1.67714663,0.16771466299999999,0.8384326430550118,11.839558888559559,0.838573315,0.01547246200000245,0.0,1.67714663,{'RANGE': 2}
profitable_after_fees,A_all,hist_gradient,development_oof,0.65,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,hist_gradient,development_oof,0.7,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,A_all,hist_gradient,validation,unfiltered,205,100.0,35.609756097560975,-43.44493954,-4.344493954,-0.2122602899606429,0.8419374082338118,-0.2119265343414634,9.155218251418917,-2.2830576500000026,-41.16188188999999,"{'RANGE': 146, 'TREND_UP': 43, 'HIGH_VOLATILITY': 8, 'LOW_VOLATILITY': 5, 'TREND_DOWN': 3}"
profitable_after_fees,A_all,hist_gradient,validation,0.5,24,11.707317073170733,29.166666666666668,-20.614312990000002,-2.061431299,-0.8607243172538618,0.448235958637798,-0.8589297079166668,2.065787528333118,-12.0531898,-8.56112319,"{'RANGE': 18, 'TREND_UP': 3, 'TREND_DOWN': 2, 'HIGH_VOLATILITY': 1}"
