fold,target,feature_set,model,feature,coefficient
1,profitable_after_fees,C_price,logistic,numeric__distance_low_168,-0.007833530411097186
1,profitable_after_fees,C_price,logistic,numeric__candles_since_prior_signal,0.19778182503843042
1,profitable_after_fees,C_price,logistic,category__pair_BTC/USDT,0.031969641044350045
1,profitable_after_fees,C_price,logistic,category__pair_ETH/USDT,-0.031960495762345595
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema20_distance,0.000814021026322538
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema50_distance,-0.06757305902794417
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema_gap,-0.14720759369285424
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema20_slope_6,-0.1295700563711187
1,profitable_after_fees,D_price_volatility,logistic,numeric__ema50_slope_6,-0.16722176312516746
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_1h,-0.1794624041154218
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_3h,0.07200357931582395
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_6h,0.10624740058859396
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_12h,-0.15332536443909608
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_24h,0.18158246975166992
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_72h,-0.11708167067535406
1,profitable_after_fees,D_price_volatility,logistic,numeric__trend_efficiency_20,0.2803132230956596
1,profitable_after_fees,D_price_volatility,logistic,numeric__body_ratio,-0.18004389212902472
1,profitable_after_fees,D_price_volatility,logistic,numeric__range_ratio,0.04857734757480542
1,profitable_after_fees,D_price_volatility,logistic,numeric__body_to_range,-0.30560350940742426
1,profitable_after_fees,D_price_volatility,logistic,numeric__close_location,-0.10108650615960083
1,profitable_after_fees,D_price_volatility,logistic,numeric__distance_high_24,-0.01228217185358058
1,profitable_after_fees,D_price_volatility,logistic,numeric__distance_low_24,-0.14777979306957362
1,profitable_after_fees,D_price_volatility,logistic,numeric__distance_high_168,-0.1720791666081941
1,profitable_after_fees,D_price_volatility,logistic,numeric__distance_low_168,0.02435273180044817
1,profitable_after_fees,D_price_volatility,logistic,numeric__candles_since_prior_signal,0.20400776042521895
1,profitable_after_fees,D_price_volatility,logistic,numeric__atr14,-0.012759798371021836
1,profitable_after_fees,D_price_volatility,logistic,numeric__natr14,-0.014215080114845043
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_std_24,-0.03653894010619011
1,profitable_after_fees,D_price_volatility,logistic,numeric__return_std_168,-0.19257388931717664
1,profitable_after_fees,D_price_volatility,logistic,numeric__volatility_percentile_720,0.14165887974924013
1,profitable_after_fees,D_price_volatility,logistic,category__pair_BTC/USDT,0.022372924541153142
1,profitable_after_fees,D_price_volatility,logistic,category__pair_ETH/USDT,-0.02233098084523035
1,profitable_after_fees,E_no_regime,logistic,numeric__ema20_distance,0.008623672983985128
1,profitable_after_fees,E_no_regime,logistic,numeric__ema50_distance,-0.054863063625796904
1,profitable_after_fees,E_no_regime,logistic,numeric__ema_gap,-0.13194637454979471
1,profitable_after_fees,E_no_regime,logistic,numeric__ema20_slope_6,-0.1011854482213215
1,profitable_after_fees,E_no_regime,logistic,numeric__ema50_slope_6,-0.14231516179306639
1,profitable_after_fees,E_no_regime,logistic,numeric__trend_efficiency_20,0.3031398699552532
1,profitable_after_fees,E_no_regime,logistic,numeric__body_ratio,-0.18196083413220884
1,profitable_after_fees,E_no_regime,logistic,numeric__range_ratio,0.01784093713266952
1,profitable_after_fees,E_no_regime,logistic,numeric__body_to_range,-0.29777998087352897
1,profitable_after_fees,E_no_regime,logistic,numeric__close_location,-0.09861582531091195
1,profitable_after_fees,E_no_regime,logistic,numeric__atr14,-0.014688846788812106
1,profitable_after_fees,E_no_regime,logistic,numeric__natr14,-0.021357914729375205
1,profitable_after_fees,E_no_regime,logistic,numeric__return_std_24,-0.03460925244013787
1,profitable_after_fees,E_no_regime,logistic,numeric__return_std_168,-0.1635919793596533
1,profitable_after_fees,E_no_regime,logistic,numeric__volatility_percentile_720,0.13201694559704485
1,profitable_after_fees,E_no_regime,logistic,numeric__rsi14,-0.05406351173901971
1,profitable_after_fees,E_no_regime,logistic,numeric__macd_ratio,-0.07979527019184397
1,profitable_after_fees,E_no_regime,logistic,numeric__macd_signal_ratio,-0.11794657337821932
1,profitable_after_fees,E_no_regime,logistic,numeric__macd_hist_ratio,0.00613861449973627
1,profitable_after_fees,E_no_regime,logistic,numeric__relative_volume_24,0.015471337698506294
