fold,model,feature_set,feature,ap_drop
1,logistic,B_reduced,regime_duration,0.02676032033115683
1,logistic,B_reduced,regime_transition,-0.005032079532181062
1,logistic,B_reduced,hour_of_day,-0.0034121399834872537
1,logistic,B_reduced,day_of_week,0.020229744486809993
1,logistic,B_reduced,distance_high_24,-0.0024981225409031658
1,logistic,B_reduced,distance_low_24,-0.006110459312768064
1,logistic,B_reduced,distance_high_168,0.0305751064324369
1,logistic,B_reduced,distance_low_168,0.0008166251493394819
1,logistic,B_reduced,candles_since_prior_signal,-0.025705956315135725
1,logistic,B_reduced,pair,-0.004255231720768175
1,logistic,B_reduced,regime,0.0016038491639345602
1,logistic,B_reduced,return_1h,0.03869832184724368
1,logistic,B_reduced,return_3h,-0.024518765117021706
1,logistic,B_reduced,return_6h,0.009981114204487737
1,logistic,B_reduced,return_12h,-0.0013010638866075563
1,logistic,B_reduced,return_24h,0.03304276763961398
1,logistic,B_reduced,return_72h,-0.009057041397093476
1,forest,B_reduced,ema20_distance,-0.0013956279250617782
1,forest,B_reduced,ema50_distance,-0.020595202639830907
1,forest,B_reduced,ema_gap,-0.00874305946638639
1,forest,B_reduced,ema20_slope_6,-0.03218386799258364
1,forest,B_reduced,ema50_slope_6,-0.003956368603082072
1,forest,B_reduced,trend_efficiency_20,0.0015732089665925209
1,forest,B_reduced,range_ratio,0.0
1,forest,B_reduced,body_to_range,0.0025114881511960063
1,forest,B_reduced,close_location,0.016671584309838134
1,forest,B_reduced,natr14,0.0002134182499585006
1,forest,B_reduced,return_std_24,0.00266527793873376
1,forest,B_reduced,return_std_168,0.0
1,forest,B_reduced,volatility_percentile_720,0.013843173003745582
1,forest,B_reduced,rsi14,0.0
1,forest,B_reduced,macd_ratio,-0.001563399068941836
1,forest,B_reduced,macd_signal_ratio,-0.0006182341050762022
1,forest,B_reduced,relative_volume_24,-0.05772876267006286
1,forest,B_reduced,volume_zscore_24,-0.0032499324257947624
1,forest,B_reduced,volume_trend_24_168,0.0
1,forest,B_reduced,regime_duration,-0.001281539710029737
1,forest,B_reduced,regime_transition,0.0
1,forest,B_reduced,hour_of_day,0.0
1,forest,B_reduced,day_of_week,0.0
1,forest,B_reduced,distance_high_24,0.00017902763688798506
1,forest,B_reduced,distance_low_24,0.002697036981044102
1,forest,B_reduced,distance_high_168,0.01247007375358572
1,forest,B_reduced,distance_low_168,0.0012912639074464383
1,forest,B_reduced,candles_since_prior_signal,0.0
1,forest,B_reduced,pair,0.0
1,forest,B_reduced,regime,0.0
1,forest,B_reduced,return_1h,-0.0006517314244062397
1,forest,B_reduced,return_3h,0.0019582053832699433
1,forest,B_reduced,return_6h,0.0
1,forest,B_reduced,return_12h,-0.02031368182172792
1,forest,B_reduced,return_24h,0.0
1,forest,B_reduced,return_72h,-0.001953154956084835
1,hist_gradient,B_reduced,ema20_distance,0.0
1,hist_gradient,B_reduced,ema50_distance,0.0
1,hist_gradient,B_reduced,ema_gap,-0.009618300080110461
1,hist_gradient,B_reduced,ema20_slope_6,0.0
1,hist_gradient,B_reduced,ema50_slope_6,0.0
1,hist_gradient,B_reduced,trend_efficiency_20,0.0005226729161695124
1,hist_gradient,B_reduced,range_ratio,0.0
1,hist_gradient,B_reduced,body_to_range,0.0
1,hist_gradient,B_reduced,close_location,0.01416817246197751
1,hist_gradient,B_reduced,natr14,0.0
1,hist_gradient,B_reduced,return_std_24,0.0
1,hist_gradient,B_reduced,return_std_168,0.0
1,hist_gradient,B_reduced,volatility_percentile_720,0.014428605587054019
1,hist_gradient,B_reduced,rsi14,0.0
1,hist_gradient,B_reduced,macd_ratio,0.0
1,hist_gradient,B_reduced,macd_signal_ratio,0.0
1,hist_gradient,B_reduced,relative_volume_24,-0.10951691642836063
1,hist_gradient,B_reduced,volume_zscore_24,0.0
1,hist_gradient,B_reduced,volume_trend_24_168,0.0
1,hist_gradient,B_reduced,regime_duration,-0.0066739351956917785
1,hist_gradient,B_reduced,regime_transition,0.0
1,hist_gradient,B_reduced,hour_of_day,0.0
1,hist_gradient,B_reduced,day_of_week,0.0
1,hist_gradient,B_reduced,distance_high_24,0.0
1,hist_gradient,B_reduced,distance_low_24,0.0
1,hist_gradient,B_reduced,distance_high_168,0.0
1,hist_gradient,B_reduced,distance_low_168,0.0
1,hist_gradient,B_reduced,candles_since_prior_signal,0.0
1,hist_gradient,B_reduced,pair,0.0
1,hist_gradient,B_reduced,regime,0.0
1,hist_gradient,B_reduced,return_1h,-0.0002754611102570766
1,hist_gradient,B_reduced,return_3h,0.0
1,hist_gradient,B_reduced,return_6h,0.0
1,hist_gradient,B_reduced,return_12h,-0.040961220261263954
1,hist_gradient,B_reduced,return_24h,0.0
1,hist_gradient,B_reduced,return_72h,-0.0018252625543569618
1,logistic,C_price,ema20_distance,0.0005188280986152538
1,logistic,C_price,ema50_distance,-0.010013080355439241
1,logistic,C_price,ema_gap,-0.01626213643837719
1,logistic,C_price,ema20_slope_6,-0.04076819622205182
1,logistic,C_price,ema50_slope_6,-0.03422451913273664
1,logistic,C_price,return_1h,-0.02513588659201771
1,logistic,C_price,return_3h,-0.010263233589002422
1,logistic,C_price,return_6h,-0.0006282862712926699
1,logistic,C_price,return_12h,-0.009302731027295211
1,logistic,C_price,return_24h,0.04842164432994315
1,logistic,C_price,return_72h,-0.017220339843587618
1,logistic,C_price,trend_efficiency_20,0.12778582879593278
1,logistic,C_price,body_ratio,0.003184404911884875
1,logistic,C_price,range_ratio,0.008337781535667924
1,logistic,C_price,body_to_range,0.1274541580902173
1,logistic,C_price,close_location,-0.011819810390344077
1,logistic,C_price,distance_high_24,0.0013308426207362019
1,logistic,C_price,distance_low_24,-0.07051330144499883
1,logistic,C_price,distance_high_168,0.005827051235396248
1,logistic,C_price,distance_low_168,0.0002807328605200314
1,logistic,C_price,candles_since_prior_signal,-0.006715564705747153
1,logistic,C_price,pair,-0.007902621366538853
1,forest,C_price,ema20_distance,0.004567228863585515
1,forest,C_price,ema50_distance,0.032544813574257946
1,forest,C_price,ema_gap,-0.00673721659520952
1,forest,C_price,ema20_slope_6,0.011253042600223454
1,forest,C_price,ema50_slope_6,0.0015543901490980467
1,forest,C_price,return_1h,0.0059803942790971525
1,forest,C_price,return_3h,0.0004690880150326852
1,forest,C_price,return_6h,0.0
1,forest,C_price,return_12h,0.0377396328132459
1,forest,C_price,return_24h,0.0
1,forest,C_price,return_72h,0.009560694056489868
1,forest,C_price,trend_efficiency_20,0.007281357310309711
1,forest,C_price,body_ratio,0.01777357425217548
1,forest,C_price,range_ratio,0.00020020020020017348
1,forest,C_price,body_to_range,0.059446963334086576
1,forest,C_price,close_location,0.06837297983887049
1,forest,C_price,distance_high_24,0.03611908039774573
1,forest,C_price,distance_low_24,-0.01573181274774697
1,forest,C_price,distance_high_168,0.033943636561830005
1,forest,C_price,distance_low_168,-0.0010996289896699207
1,forest,C_price,candles_since_prior_signal,0.0
1,forest,C_price,pair,0.0005050505050504898
1,hist_gradient,C_price,ema20_distance,0.0
1,hist_gradient,C_price,ema50_distance,0.0
1,hist_gradient,C_price,ema_gap,-0.03140186865755242
1,hist_gradient,C_price,ema20_slope_6,0.0
1,hist_gradient,C_price,ema50_slope_6,0.0
1,hist_gradient,C_price,return_1h,-0.030619646740911628
1,hist_gradient,C_price,return_3h,0.0
1,hist_gradient,C_price,return_6h,0.0
1,hist_gradient,C_price,return_12h,-0.01566559333297392
1,hist_gradient,C_price,return_24h,0.0
1,hist_gradient,C_price,return_72h,0.0032297509862516303
1,hist_gradient,C_price,trend_efficiency_20,0.0049832122134163175
1,hist_gradient,C_price,body_ratio,0.0
1,hist_gradient,C_price,range_ratio,0.0
1,hist_gradient,C_price,body_to_range,0.02221330426299034
1,hist_gradient,C_price,close_location,0.014918822395516673
1,hist_gradient,C_price,distance_high_24,0.0
1,hist_gradient,C_price,distance_low_24,0.0
1,hist_gradient,C_price,distance_high_168,0.0
1,hist_gradient,C_price,distance_low_168,0.0
1,hist_gradient,C_price,candles_since_prior_signal,0.0
1,hist_gradient,C_price,pair,0.0
1,logistic,D_price_volatility,ema20_distance,0.0
1,logistic,D_price_volatility,ema50_distance,-0.0073374894739978895
1,logistic,D_price_volatility,ema_gap,-0.020659476847147824
1,logistic,D_price_volatility,ema20_slope_6,-0.012285619803945972
1,logistic,D_price_volatility,ema50_slope_6,-0.026813020341406497
1,logistic,D_price_volatility,return_1h,-0.006975973010800958
1,logistic,D_price_volatility,return_3h,-0.0086611680860987
1,logistic,D_price_volatility,return_6h,0.0019186716471275937
1,logistic,D_price_volatility,return_12h,-0.003596016587096925
1,logistic,D_price_volatility,return_24h,0.04993961900212022
1,logistic,D_price_volatility,return_72h,-0.014120557567869563
1,logistic,D_price_volatility,trend_efficiency_20,0.10564987013992701
1,logistic,D_price_volatility,body_ratio,0.009246831837667132
1,logistic,D_price_volatility,range_ratio,0.010246782387792419
1,logistic,D_price_volatility,body_to_range,0.09282678885534233
1,logistic,D_price_volatility,close_location,-0.009475340574084501
1,logistic,D_price_volatility,distance_high_24,0.0025403546657689255
1,logistic,D_price_volatility,distance_low_24,-0.04665241511716204
1,logistic,D_price_volatility,distance_high_168,0.005961480807489446
1,logistic,D_price_volatility,distance_low_168,0.001813332015093705
1,logistic,D_price_volatility,candles_since_prior_signal,-0.010426503658007494
1,logistic,D_price_volatility,pair,0.0005161146046548382
1,logistic,D_price_volatility,atr14,1.4228015255339047e-05
1,logistic,D_price_volatility,natr14,-0.0014635338478412214
1,logistic,D_price_volatility,return_std_24,-0.001053468305420709
1,logistic,D_price_volatility,return_std_168,-0.05260459817221467
1,logistic,D_price_volatility,volatility_percentile_720,0.02647517760833003
1,forest,D_price_volatility,ema20_distance,-0.030421526139475834
1,forest,D_price_volatility,ema50_distance,0.004989025087687153
1,forest,D_price_volatility,ema_gap,-0.024145161388264707
1,forest,D_price_volatility,ema20_slope_6,-0.013474908953511963
1,forest,D_price_volatility,ema50_slope_6,-0.0012817077824655576
1,forest,D_price_volatility,return_1h,-0.013026209088273935
1,forest,D_price_volatility,return_3h,-2.4981139532217107e-05
1,forest,D_price_volatility,return_6h,-0.0001984126984126977
1,forest,D_price_volatility,return_12h,0.02750322599397938
1,forest,D_price_volatility,return_24h,0.0
1,forest,D_price_volatility,return_72h,-0.002569755518423792
1,forest,D_price_volatility,trend_efficiency_20,-0.005715545866854854
1,forest,D_price_volatility,body_ratio,-0.005667311785857332
1,forest,D_price_volatility,range_ratio,0.0
1,forest,D_price_volatility,body_to_range,0.029288898072441616
1,forest,D_price_volatility,close_location,0.0190491117156872
1,forest,D_price_volatility,distance_high_24,-0.000551415922132222
1,forest,D_price_volatility,distance_low_24,-0.02407165191455925
1,forest,D_price_volatility,distance_high_168,0.01052574162917567
1,forest,D_price_volatility,distance_low_168,0.00014364604147887317
1,forest,D_price_volatility,candles_since_prior_signal,0.0
1,forest,D_price_volatility,pair,0.0
1,forest,D_price_volatility,atr14,0.0
1,forest,D_price_volatility,natr14,-0.0007936507936507908
1,forest,D_price_volatility,return_std_24,-0.0003968253968253954
1,forest,D_price_volatility,return_std_168,0.0
1,forest,D_price_volatility,volatility_percentile_720,-0.0021735920079397806
1,hist_gradient,D_price_volatility,ema20_distance,0.0
1,hist_gradient,D_price_volatility,ema50_distance,0.0
1,hist_gradient,D_price_volatility,ema_gap,-0.05785422486582287
1,hist_gradient,D_price_volatility,ema20_slope_6,0.0
1,hist_gradient,D_price_volatility,ema50_slope_6,0.0
1,hist_gradient,D_price_volatility,return_1h,-0.03372310731102061
1,hist_gradient,D_price_volatility,return_3h,0.0
1,hist_gradient,D_price_volatility,return_6h,0.0
1,hist_gradient,D_price_volatility,return_12h,-0.02783778494654493
1,hist_gradient,D_price_volatility,return_24h,0.0
1,hist_gradient,D_price_volatility,return_72h,0.0008472951482328036
1,hist_gradient,D_price_volatility,trend_efficiency_20,0.026227256209616263
1,hist_gradient,D_price_volatility,body_ratio,0.0
1,hist_gradient,D_price_volatility,range_ratio,0.0
1,hist_gradient,D_price_volatility,body_to_range,0.026555288474917615
1,hist_gradient,D_price_volatility,close_location,-0.016878390709910984
1,hist_gradient,D_price_volatility,distance_high_24,0.0
1,hist_gradient,D_price_volatility,distance_low_24,0.0
1,hist_gradient,D_price_volatility,distance_high_168,0.0
1,hist_gradient,D_price_volatility,distance_low_168,0.0007940439904247643
1,hist_gradient,D_price_volatility,candles_since_prior_signal,0.0
1,hist_gradient,D_price_volatility,pair,0.0
1,hist_gradient,D_price_volatility,atr14,0.0
1,hist_gradient,D_price_volatility,natr14,0.0
1,hist_gradient,D_price_volatility,return_std_24,0.0
1,hist_gradient,D_price_volatility,return_std_168,0.0
1,hist_gradient,D_price_volatility,volatility_percentile_720,0.05566669086664744
1,logistic,E_no_regime,ema20_distance,-0.00826751479946656
1,logistic,E_no_regime,ema50_distance,-0.02873834469358409
1,logistic,E_no_regime,ema_gap,-0.035451511373944644
1,logistic,E_no_regime,ema20_slope_6,-0.029544740919545287
1,logistic,E_no_regime,ema50_slope_6,-0.058159508890751534
1,logistic,E_no_regime,trend_efficiency_20,0.06583779120977218
1,logistic,E_no_regime,body_ratio,-0.009586284955399446
1,logistic,E_no_regime,range_ratio,-0.021517691008234047
1,logistic,E_no_regime,body_to_range,0.0704068516290608
1,logistic,E_no_regime,close_location,-0.01490470748771174
1,logistic,E_no_regime,atr14,-2.988825452613734e-06
1,logistic,E_no_regime,natr14,-0.023709440180845864
1,logistic,E_no_regime,return_std_24,-0.005972409898021984
1,logistic,E_no_regime,return_std_168,-0.07845840968377153
1,logistic,E_no_regime,volatility_percentile_720,-0.011346584689252056
1,logistic,E_no_regime,rsi14,-0.04088615128569032
1,logistic,E_no_regime,macd_ratio,-0.041779246902783305
1,logistic,E_no_regime,macd_signal_ratio,-0.05212155067190516
1,logistic,E_no_regime,macd_hist_ratio,0.0016554705416156705
1,logistic,E_no_regime,relative_volume_24,-0.015921947316930935
1,logistic,E_no_regime,volume_zscore_24,-0.02642380011844203
1,logistic,E_no_regime,volume_trend_24_168,0.0023353536745679784
1,logistic,E_no_regime,hour_of_day,-0.00497841657711499
1,logistic,E_no_regime,day_of_week,-0.014584231824306052
1,logistic,E_no_regime,distance_high_24,-0.015475718926805956
1,logistic,E_no_regime,distance_low_24,-0.05428834246412465
1,logistic,E_no_regime,distance_high_168,-0.015853968643350758
1,logistic,E_no_regime,distance_low_168,-0.010758447004200367
1,logistic,E_no_regime,candles_since_prior_signal,-0.044339513645975694
1,logistic,E_no_regime,source_synthetic,0.0
1,logistic,E_no_regime,pair,-0.00828161368442426
1,logistic,E_no_regime,return_1h,-0.02911057967683021
1,logistic,E_no_regime,return_3h,-0.03385022799853665
1,logistic,E_no_regime,return_6h,-0.011363109224731752
1,logistic,E_no_regime,return_12h,-0.017593797038775876
1,logistic,E_no_regime,return_24h,0.03325983532375287
1,logistic,E_no_regime,return_72h,-0.014850478631731131
1,forest,E_no_regime,ema20_distance,-0.01691864421897943
1,forest,E_no_regime,ema50_distance,-0.017212004808766484
1,forest,E_no_regime,ema_gap,-0.01398658476642739
1,forest,E_no_regime,ema20_slope_6,-0.025992310129785534
1,forest,E_no_regime,ema50_slope_6,-0.01620099737544865
1,forest,E_no_regime,trend_efficiency_20,-0.006259534227429438
1,forest,E_no_regime,body_ratio,-0.008142424045529173
1,forest,E_no_regime,range_ratio,0.0
1,forest,E_no_regime,body_to_range,-0.0006122211954847079
1,forest,E_no_regime,close_location,-0.003650187883034025
1,forest,E_no_regime,atr14,0.0
1,forest,E_no_regime,natr14,0.0
1,forest,E_no_regime,return_std_24,-0.00015151515151516173
