target,feature_set,model,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier,ece_5_bins
return_above_0_5_percent,D_price_volatility,dummy,0.5,0.25357693154303323,0.5,0.0,0.0,0.0,0.19690271418444918,0.12252059158670658
return_above_0_5_percent,D_price_volatility,forest,0.5206679337466374,0.33243270506914485,0.5066498316498317,0.393939393939394,0.08148148148148147,0.11794871794871796,0.20188075781120626,0.13385394467934722
return_above_0_5_percent,D_price_volatility,hist_gradient,0.5492956460549053,0.30369680985590164,0.49525813692480364,0.1111111111111111,0.059259259259259255,0.07619047619047618,0.20054776428746893,0.13513974826306785
return_above_0_5_percent,D_price_volatility,logistic,0.535536582758805,0.3172415737108491,0.5385521885521886,0.25,0.1259259259259259,0.16722408026755853,0.2057758263026274,0.13671383894905378
return_above_0_5_percent,E_no_regime,dummy,0.5,0.25357693154303323,0.5,0.0,0.0,0.0,0.19690271418444918,0.12252059158670658
return_above_0_5_percent,E_no_regime,forest,0.5136418751002084,0.3222264217882949,0.5111391694725028,0.24074074074074073,0.08148148148148147,0.11616161616161617,0.20250448469057367,0.1415133245276849
return_above_0_5_percent,E_no_regime,hist_gradient,0.5445983200612831,0.3114234059832854,0.49904601571268237,0.12222222222222223,0.059259259259259255,0.07777777777777778,0.1988909026793314,0.12549464602448965
return_above_0_5_percent,E_no_regime,logistic,0.543648399782659,0.33502630056797794,0.5316778900112233,0.2148148148148148,0.1259259259259259,0.15873015873015872,0.20751551979643842,0.1416536806069883
return_above_1_percent,A_all,dummy,0.5,0.21125296549025363,0.5,0.0,0.0,0.0,0.17201194470578104,0.10696809728169458
return_above_1_percent,A_all,forest,0.4874705343812895,0.28563244343935995,0.5,0.0,0.0,0.0,0.1781943299826955,0.11810282157530949
return_above_1_percent,A_all,hist_gradient,0.479099877154797,0.2652949412374137,0.5,0.0,0.0,0.0,0.18255125351834234,0.13319995806350513
return_above_1_percent,A_all,logistic,0.583746992900311,0.3274513713801846,0.508136282735825,0.08333333333333333,0.05555555555555555,0.06666666666666667,0.1757834081558042,0.11081336794374132
return_above_1_percent,B_reduced,dummy,0.5,0.21125296549025363,0.5,0.0,0.0,0.0,0.17201194470578104,0.10696809728169458
return_above_1_percent,B_reduced,forest,0.49463471946309473,0.29943313647382613,0.5,0.0,0.0,0.0,0.17647290883315211,0.11276400537505189
return_above_1_percent,B_reduced,hist_gradient,0.4525580022147528,0.2547876812204885,0.5,0.0,0.0,0.0,0.18347614035978885,0.13939819845191623
return_above_1_percent,B_reduced,logistic,0.5734661812465016,0.3374719427445731,0.5183066361556063,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.17612980405404113,0.12109657033662034
return_above_1_percent,C_price,dummy,0.5,0.21125296549025363,0.5,0.0,0.0,0.0,0.17201194470578104,0.10696809728169458
return_above_1_percent,C_price,forest,0.48718344542143166,0.27556162398811995,0.5,0.0,0.0,0.0,0.17484590833403477,0.11783885117777315
return_above_1_percent,C_price,hist_gradient,0.46969486145687517,0.2833394601187054,0.5,0.0,0.0,0.0,0.17709861660090528,0.11161079582765591
return_above_1_percent,C_price,logistic,0.5193391319249443,0.2943637401614377,0.5212306127637936,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.17629309671246926,0.11247923870928277
return_above_1_percent,D_price_volatility,dummy,0.5,0.21125296549025363,0.5,0.0,0.0,0.0,0.17201194470578104,0.10696809728169458
return_above_1_percent,D_price_volatility,forest,0.48267612546788746,0.2805495251347963,0.5,0.0,0.0,0.0,0.17460837277988617,0.1147661958510139
return_above_1_percent,D_price_volatility,hist_gradient,0.4512199301672986,0.25819899465289375,0.5,0.0,0.0,0.0,0.1807822379118016,0.129897592576286
return_above_1_percent,D_price_volatility,logistic,0.557934738369521,0.3101547793853247,0.508136282735825,0.08333333333333333,0.05555555555555555,0.06666666666666667,0.17671251512203404,0.11437205097580423
return_above_1_percent,E_no_regime,dummy,0.5,0.21125296549025363,0.5,0.0,0.0,0.0,0.17201194470578104,0.10696809728169458
return_above_1_percent,E_no_regime,forest,0.47217672572363645,0.27800948899275696,0.5,0.0,0.0,0.0,0.17838745964184044,0.11925814075451202
return_above_1_percent,E_no_regime,hist_gradient,0.48050617066635376,0.26482075507965025,0.5,0.0,0.0,0.0,0.18021196294853006,0.1267737648136071
return_above_1_percent,E_no_regime,logistic,0.5706958309933138,0.3254510874986852,0.5110602593440122,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.17593403008805672,0.10829554595046008
