split,feature,target,method,correlation,n
development,volatility_percentile_720,stoploss_hit,spearman,0.1425028720170337,217
development,rsi14,stoploss_hit,spearman,0.109313901636556,217
development,macd_ratio,stoploss_hit,spearman,0.1713885814944574,217
development,macd_signal_ratio,stoploss_hit,spearman,0.2123812946081659,217
development,macd_hist_ratio,stoploss_hit,spearman,0.12766302083983502,217
development,relative_volume_24,stoploss_hit,spearman,0.10892349484499685,217
development,volume_zscore_24,stoploss_hit,spearman,0.09096478243327695,217
development,volume_trend_24_168,stoploss_hit,spearman,0.10462902013784643,217
development,regime_duration,stoploss_hit,spearman,-0.0731471299796956,217
development,regime_transition,stoploss_hit,spearman,-0.0023532603946871044,217
development,hour_of_day,stoploss_hit,spearman,0.08404209580314012,217
development,day_of_week,stoploss_hit,spearman,-0.07554332018266857,217
development,distance_high_24,stoploss_hit,spearman,-0.015616271662365141,217
development,distance_low_24,stoploss_hit,spearman,0.23112082060300412,217
development,distance_high_168,stoploss_hit,spearman,0.06832118852284749,217
development,distance_low_168,stoploss_hit,spearman,0.1698269543282209,217
development,candles_since_prior_signal,stoploss_hit,spearman,-0.027916577357647673,217
development,return_1h,stoploss_hit,spearman,0.16475166603795224,217
development,return_3h,stoploss_hit,spearman,0.2108196674419294,217
development,return_6h,stoploss_hit,spearman,0.01834911920327904,217
development,return_12h,stoploss_hit,spearman,0.12805342763139416,217
development,return_24h,stoploss_hit,spearman,0.18036793770031737,217
development,return_72h,stoploss_hit,spearman,0.07183484964687965,217
development,ema20_distance,favorable_move_before_adverse_move,spearman,-0.17326998804069382,179
development,ema50_distance,favorable_move_before_adverse_move,spearman,-0.181057403233534,179
