feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,split,pair
volume_trend_24_168,217.0,-0.14605615883144377,0.32497814035850486,-0.7663570807232211,-0.6777538849705127,-0.624424859492054,-0.3879831398051843,-0.15656934688383695,0.03152287018269195,0.3660438057014528,0.8577586078069811,1.0970662813248317,development,ALL
regime_duration,217.0,18.543778801843317,18.95142842527318,1.0,1.0,1.0,3.0,12.0,29.0,51.19999999999999,76.36000000000001,117.0,development,ALL
regime_transition,217.0,0.12903225806451613,0.336010752516123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,development,ALL
hour_of_day,217.0,12.096774193548388,6.953871737283499,0.0,0.16000000000000014,1.0,6.0,13.0,18.0,22.0,23.0,23.0,development,ALL
day_of_week,217.0,3.3317972350230414,2.0684027196239807,0.0,0.0,0.0,2.0,3.0,5.0,6.0,6.0,6.0,development,ALL
distance_high_24,217.0,-0.008195640445397105,0.005776215680097001,-0.03402414430484413,-0.026672170071061718,-0.019404915924125698,-0.010892960435746502,-0.0070058177517534626,-0.004317109808591346,-0.0013847429100899426,-0.0003379542865261119,-0.00030614624137281776,development,ALL
distance_low_24,217.0,0.023471881817428725,0.016234260679320413,0.0016544390427191136,0.002063473916461085,0.004168448315133233,0.009995057746332359,0.020234281523794806,0.03213973333333331,0.05378424067280685,0.06771414445569393,0.08624480708760829,development,ALL
distance_high_168,217.0,-0.03528502199936058,0.024760141829015137,-0.12471866040326118,-0.10921098601591138,-0.08667114823295416,-0.04510066666666668,-0.030811224489795785,-0.01737307694124679,-0.005097061262304607,-0.0024697455156168046,-0.00032956247740079103,development,ALL
distance_low_168,217.0,0.056807070935319774,0.04944783048408943,0.006684375728632785,0.008665843763227167,0.012798878493992883,0.023861506230014262,0.04151536111591447,0.06910365045580491,0.15430272082889335,0.23975886651875725,0.3613507768445965,development,ALL
candles_since_prior_signal,217.0,80.28571428571429,47.98400030962701,2.0,6.0,20.8,50.0,68.0,106.0,164.59999999999997,247.44000000000014,319.0,development,ALL
source_synthetic,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,development,ALL
return_1h,217.0,0.00148847625694508,0.0068506282575053305,-0.012602846395327383,-0.010522314986097262,-0.00446004788615728,-0.0011347748644973121,0.0003540709994063196,0.0024009434314173905,0.011338592082367243,0.029679641707346032,0.05527521879318287,development,ALL
return_3h,217.0,0.0038056691762082128,0.009231827356003641,-0.010979184924529206,-0.008566253972600153,-0.0048920600281565415,-0.001103772698697214,0.001365314279661911,0.004917321937067287,0.02183465430055448,0.0397436644407028,0.05838105449162767,development,ALL
return_6h,217.0,0.005845429153681957,0.011437035121579703,-0.02033771549378449,-0.009132049116628677,-0.006009903429697694,-0.000891973460734885,0.0016923391319896286,0.009635598960741065,0.030678898557209375,0.04224666757884789,0.05916067810557912,development,ALL
return_12h,217.0,0.009731491433870018,0.01449289483271146,-0.03093766873127135,-0.012135343753595169,-0.0064398739260066225,0.000463700103354725,0.004709716001318087,0.016746462164223264,0.039319321204857774,0.05237806090148208,0.06513235777334647,development,ALL
return_24h,217.0,0.01405068995922666,0.014079970775675847,-0.011538943221795939,-0.00439632483842514,-0.0008143891156405567,0.0035300375570206377,0.009003095486615376,0.021443395041382818,0.04345314317903406,0.0558798378799679,0.06461481704765792,development,ALL
return_72h,217.0,0.003682888259902806,0.03107270154792436,-0.0855224887852879,-0.07973724156303683,-0.042970718151475726,-0.010405462422077849,0.0029823116282523543,0.01654591970925079,0.05164178591651714,0.11168704623504919,0.15388891741371968,development,ALL
ema20_distance,115.0,0.006352678095821062,0.009126244263213897,-0.013536415095536825,-0.005298661819598673,-0.002044470374945306,0.0008510602128649625,0.00309105704647461,0.009318426231634147,0.025464069960360252,0.03448195257511979,0.05035009454341832,development,BTC/USDT
ema50_distance,115.0,0.007361794564775966,0.011294078558145267,-0.01803525210305057,-0.008074596689321504,-0.0044478485217421485,-1.562216456263421e-05,0.003652159973106528,0.012163787663585057,0.027906841820669957,0.04719492904793697,0.053177978305301465,development,BTC/USDT
ema_gap,115.0,0.0009534297173045027,0.0034964732466491125,-0.01180011947180033,-0.00863535209579614,-0.004148237122858712,-0.0006601527306648667,0.0007247130466323027,0.002658453992182476,0.005415705461567332,0.012044384405180101,0.01393009856595917,development,BTC/USDT
ema20_slope_6,115.0,0.002964726196291532,0.0037842997500384355,-0.0062851717449503575,-0.0022482214798718834,-0.0007076610291813946,0.0005299954690379804,0.0018751211346514918,0.004656789282763585,0.010292163033109668,0.016049551538747004,0.01666848984145819,development,BTC/USDT
ema50_slope_6,115.0,0.0011977096979083114,0.001924474724951617,-0.003577327298896704,-0.0031689511667025026,-0.0009206281462667554,-7.496665307382688e-05,0.0006401735610817028,0.0023371903475380984,0.004746592370884128,0.00663274257168168,0.008112749568260691,development,BTC/USDT
trend_efficiency_20,115.0,0.2807205047403322,0.1626081128079207,0.004960897727520825,0.0063975119411561815,0.061876228964340405,0.16077692647307987,0.2647333644797436,0.3931099695612047,0.6064163538696291,0.6431258032437965,0.7839444499950048,development,BTC/USDT
body_ratio,115.0,0.0017143888777020357,0.007232516648129896,-0.012603197158081664,-0.010130585162178338,-0.004662582397137827,-0.001057147812886738,0.0005950900977531939,0.0028584398112394306,0.010526829711492654,0.029668720905645863,0.05527521879318282,development,BTC/USDT
range_ratio,115.0,0.006391799562474649,0.007293862872471418,0.00022663817436318763,0.0007642739231859123,0.0011920922413802056,0.0024316256506294954,0.004451380125803849,0.007087308993007881,0.01675982190397924,0.0345216558392493,0.059653652349426364,development,BTC/USDT
body_to_range,115.0,0.468812607724409,0.2525372375400049,0.000743218134471114,0.015296276920527128,0.06769331777218474,0.2580174111176194,0.4671714440237788,0.6602564875231431,0.8716605055642787,0.9191536074643502,0.9684572219612833,development,BTC/USDT
close_location,115.0,0.5523227561694639,0.2853795470406077,5.523336094117277e-05,0.03748115179898785,0.06990462865460614,0.32822964492612533,0.5884137094328259,0.7991565299736474,0.9705611019795989,0.9977201728719942,1.0,development,BTC/USDT
